"pathway","gene","lfc_F","padj_F","lfc_M","padj_M","sig","lab","x_plot"
"Control","betaGlu",0.0437837900016509,0.99686926944711,-0.0655242331910421,0.890503140987566,"Not significant","betaGlu",1.06357551068068
"Control","eff",-0.187679284321243,0.97852476569066,-0.0866837408636856,0.824866981012997,"Not significant",NA,1.01808976188302
"Control","ida",-0.0260192423008534,0.997029291296654,-0.0744039832802964,0.901825875678937,"Not significant",NA,0.884844786450267
"Control","morgue",0.141493026122539,0.980950988535372,-0.13521302122033,0.707500748029721,"Not significant",NA,0.931431457996368
"Control","mRpL9",-0.274601488108479,0.576459939640811,-0.335325681265605,0.204962767453245,"Not significant","mRpL9",1.01771808318794
"Control","mtSSB",0.772299608929862,0.950405999557053,-0.0229598667943697,0.987737900325561,"Not significant","mtSSB",0.848041968122125
"Control","PIG-T",-0.0564203428853461,0.99506227693004,-0.230249824997611,0.481029428045414,"Not significant",NA,0.98919377759099
"Control","Prosbeta6",-0.218997990650902,0.755855323666333,-0.274785040636352,0.218447328739824,"Not significant","Prosbeta6",1.11552341923118
"Control","shrb",-0.113616452606757,0.961457586857434,-0.306026198477861,0.112699064629358,"Not significant",NA,0.920800377205014
"Control","Ubc2",-0.0984928981670614,0.993770176584022,-0.623474347333132,0.155915944914945,"Not significant",NA,1.02585802793503
"Control","Ufc1",-0.308275614689782,0.682178320758465,0.102247812555588,0.812355368627308,"Not significant",NA,0.84189864218235
"ISR","AIMP1",0.0187305907609028,0.997029291296654,-0.27414871434691,0.405631037880044,"Not significant",NA,2.06139710076153
"ISR","Atf6",0.612147653244588,0.940054034835702,-0.778052670695787,0.479531860826628,"Not significant",NA,1.91396001502872
"ISR","chrb",0.153606098946314,0.955687140385076,0.0112887145572815,0.984618903637926,"Not significant",NA,2.11153038792312
"ISR","crc",-0.13602895863017,0.99686926944711,0.340931244770276,0.700753036775891,"Not significant","crc",1.88922727704048
"ISR","CysRS",-0.120235567380918,0.980950988535372,-0.0238991841749071,0.964317812404015,"Not significant",NA,1.95417898073792
"ISR","Gadd45",0.232661383035585,0.986976325248193,1.04925136041502,2.54209333577694e-06,"Not significant","Gadd45",2.01446544133127
"ISR","PPP1R15",-0.027329362567821,0.99686926944711,-0.0703173225474435,0.814534829936398,"Not significant","PPP1R15",1.84038323640823
"ISR","scyl",-0.291317451839711,0.928790266462657,-0.46430336423182,0.240304076066573,"Not significant",NA,1.94170383676887
"ISR","trbl",0.19494610186959,0.871232856025859,-0.148239154789383,0.645055392301211,"Not significant",NA,1.84553259320557
"ISR","TrpRS",0.307470611225274,0.271525918346151,0.321887143318573,0.113885021815174,"Not significant",NA,1.94929856829345
"ISR","TyrRS",0.354804396083575,0.19837860942273,-0.0110006139059386,0.979159418202442,"Not significant",NA,1.94990041598678
"UPR (ATF6)","Creld",-0.0532992175619995,0.99686926944711,-0.15596724882988,0.835573662735897,"Not significant",NA,2.91442006185651
"UPR (ATF6)","ERp60",-0.0217097078328415,0.99686926944711,-0.329649351203929,0.0534217914627284,"Not significant",NA,2.85963802486658
"UPR (ATF6)","foi",-1.10803799752311,0.783293689022486,-0.939715538441441,0.480125808712925,"Not significant",NA,2.97196040056646
"UPR (ATF6)","Grp170",-0.103948468540882,0.99686926944711,-0.137338208384213,0.877943007749926,"Not significant",NA,2.89936389669776
"UPR (ATF6)","hlk",0.322362592441092,0.840860615932824,-0.668999826222892,0.0433661532558281,"Not significant",NA,2.97141506038606
"UPR (ATF6)","Hsc70-3",0.0737043649899116,0.99686926944711,-0.42528994272327,0.353214765830556,"Not significant","Hsc70-3",2.88482587382197
"UPR (ATF6)","Manf",-0.448242435459061,0.455045715211451,-0.528004348838912,0.0203993306157242,"Not significant",NA,2.84173904538155
"UPR (ATF6)","Mis12",1.61267384494358,0.010681576414981,0.850614922780101,0.0119710903651136,"Up in CS","Mis12",3.03255642101169
"UPR (ATF6)","sgl",0.21513348301788,0.839128128906271,0.0725681401058251,0.856780423532901,"Not significant",NA,3.13152324073017
"UPR (ATF6)","shv",0.0557364522935493,0.99506227693004,-0.480293836253586,0.0427831178679882,"Not significant",NA,2.89611609086394
"UPR (ATF6)","Zip71B",-0.31495917187536,0.964133926567744,-0.0233028298583878,0.984187242673297,"Not significant",NA,3.07397997222841
"UPR (IRE1/XBP1s)","Der-2",0.0887570972535688,0.982326723065421,-0.134517807823509,0.675681438048149,"Not significant",NA,3.84517030708492
"UPR (IRE1/XBP1s)","ergic53",-0.133975277459533,0.986976325248193,-0.269844044340458,0.469135978161864,"Not significant",NA,4.02755702920258
