"area_threshold_um2","WT_images_n","CS_images_n","WT_objects_n","CS_objects_n","WT_zero_TMRM_objects_n","CS_zero_TMRM_objects_n","WT_image_mean_percent","CS_image_mean_percent","CS_over_WT_image_mean","WT_image_median_percent","CS_image_median_percent","Cliffs_delta_CS_vs_WT","exploratory_Mann_Whitney_p","total_objects_n","object_count_percent_of_0.05_baseline","effect_direction"
0.025,7,25,3653,28272,92,5266,100,134.028296614518,1.34028296614518,72.9809428770938,116.586057209062,0.314285714285714,0.223961452896381,31925,141.693666503928,"CS > WT"
0.05,7,25,2817,19714,20,1781,100,137.001823289644,1.37001823289644,78.3059360526294,127.465933033799,0.302857142857143,0.24198955629712,22531,100,"CS > WT"
0.1,7,25,2223,13584,1,268,100,142.817857641198,1.42817857641198,78.7918039044759,130.590603321879,0.371428571428571,0.147549390110569,15807,70.1566730282722,"CS > WT"
