"Panel","Metric","Unit","WR_Images_n","CS_Images_n","WR_Image_Mean","CS_Image_Mean","WR_Image_Median","CS_Image_Median","Mean_Difference_CS_minus_WR","Fold_Change_CS_over_WR","Cliffs_Delta_CS_vs_WR","Exploratory_Mann_Whitney_p"
"K","Mitochondrial area","µm²",9,17,1.34816196279284,1.4152279779119,1.1156,1.158875,0.0670660151190661,1.04974625970023,0.0980392156862745,0.70596728801834
"L","Aspect ratio","unitless",9,15,2.02348603336037,2.51377032789908,1.67521739130435,2.37269230769231,0.490284294538708,1.24229685130295,0.496296296296296,0.0490979816092656
"M","Mitochondrial perimeter","µm",9,17,4.25901196092155,4.77197779651612,4.79535714285714,4.61344444444444,0.512965835594571,1.12044245010375,0.202614379084967,0.418830379486117
