"group","efficiency","experiment","image"
"WT",41.37931,1,"47"
"WT",42.10526,1,"36"
"WT",72.22222,1,"31"
"WT",71.42857,1,"15"
"WT",50,1,"10"
"CS",61.53846,1,"73"
"CS",70,1,"66"
"CS",75,1,"60"
"CS",50,1,"56"
"CS",58.33333,1,"52"
"WT",57.2815533980583,2,"8"
"WT",62.111801242236,2,"17"
"WT",93.3333333333333,2,"21"
"WT",84.297520661157,2,"26"
"WT",57.6923076923077,2,"30"
"CS",64.5161290322581,2,"35"
"CS",50.4132231404959,2,"39"
"CS",67,2,"42"
"CS",56.551724137931,2,"46"
"CS",47.5,2,"50"
