module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
FOXO,ImpL2,897.934924194773,0.948456418174197,0.163715812558672,5.79330978083925,6.9012641722806705e-9,1.09480480145797e-6,Up in CS
FOXO,Lsp1gamma,5539.40897724523,0.540493929846445,0.167546612162272,3.22593171459037,0.00125563310541384,0.0445201773214549,Not significant
FOXO,Gadd45,716.596261529603,0.232661383035585,0.474032004441755,0.490813659954413,0.623558247745569,0.986976325248193,Not significant
FOXO,Lsp1alpha,4737.03490124585,0.200592357031586,0.187346010202802,1.07070525181959,0.284301980626467,0.89177768933569,Not significant
FOXO,GstE1,1205.19223529725,0.196240964862774,0.172905026549951,1.13496390925386,0.256390440414966,0.863826083928599,Not significant
FOXO,Atg6,344.685225796534,0.194568887651398,0.167988240766312,1.15822921154381,0.246770510432438,0.854057962544853,Not significant
FOXO,Ilp6,1022.04102563083,0.192525692463826,0.157485311817522,1.22249935719024,0.221518846826132,0.826306514442164,Not significant
FOXO,puc,92.8845043036689,0.111232390832187,0.315553940822509,0.352498816976438,0.72446420552341,0.993770176584022,Not significant
FOXO,Rbf,251.685152922361,-0.07651931511896,0.228722309119603,-0.334551165618684,0.73796368817579,0.99417184827796,Not significant
FOXO,Cat,9816.339828261,-0.101689783406426,0.148786927467805,-0.683459125993647,0.494316769718095,0.981088878936134,Not significant
FOXO,dap,241.64833576962,-0.108889156802821,0.206354682039984,-0.527679603517415,0.597721732140147,0.986976325248193,Not significant
FOXO,Sesn,18.3803408344283,0.135302824013738,0.594207860074658,0.227702851316604,0.819877255636361,0.99686926944711,Not significant
FOXO,bmm,9.17574001125166,-0.0560663210166242,0.899072812535546,-0.0623601561908064,0.950276023928612,0.997029291296654,Not significant
FOXO,Atg8a,1084.02343688805,-0.0978500482060776,0.179519046548487,-0.545067780201524,0.585706901425795,0.985837710662917,Not significant
DNA replication,timeout,597.128150677276,3.96185054231995,0.229392665015106,17.2710428298091,7.772513332445899e-67,2.89759297033583e-63,Up in CS
DNA replication,DNAlig3,481.901855991471,0.992042512486254,0.159074140461288,6.23635312194362,4.47889446910224e-10,8.34865929040657e-8,Up in CS
DNA replication,PolD2,43.5323857659035,0.512742702414053,0.374642401655355,1.36861898212403,0.171118407280551,0.745680213140731,Not significant
DNA replication,Top1,35.7402340674806,0.447100270645624,0.486735953943817,0.918568408647354,0.358321362262846,0.936191315319529,Not significant
DNA replication,DNAlig1,79.2151328134282,0.442164652544685,0.293611408138431,1.50595188159792,0.132079526576441,0.663154848588512,Not significant
DNA replication,PolE2,22.8600188313595,0.319281497283323,0.541519779317334,0.589602650684015,0.555457074199532,0.982021324378881,Not significant
DNA replication,PCNA2,68.4016203145936,0.271114369795603,0.343247520843827,0.789850919036808,0.429614837863529,0.958293050756269,Not significant
DNA replication,Cdc45,226.00049949791,0.266059989035532,0.215248035022262,1.23606233621605,0.216435393519045,0.819158524912692,Not significant
