"pathway","gene","lfc_F","padj_F","lfc_M","padj_M"
"Control","betaGlu",0.0437837900016509,0.99686926944711,-0.0655242331910421,0.890503140987566
"Control","eff",-0.187679284321243,0.97852476569066,-0.0866837408636856,0.824866981012997
"Control","ida",-0.0260192423008534,0.997029291296654,-0.0744039832802964,0.901825875678937
"Control","morgue",0.141493026122539,0.980950988535372,-0.13521302122033,0.707500748029721
"Control","mRpL9",-0.274601488108479,0.576459939640811,-0.335325681265605,0.204962767453245
"Control","mtSSB",0.772299608929862,0.950405999557053,-0.0229598667943697,0.987737900325561
"Control","PIG-T",-0.0564203428853461,0.99506227693004,-0.230249824997611,0.481029428045414
"Control","Prosbeta6",-0.218997990650902,0.755855323666333,-0.274785040636352,0.218447328739824
"Control","shrb",-0.113616452606757,0.961457586857434,-0.306026198477861,0.112699064629358
"Control","Ubc2",-0.0984928981670614,0.993770176584022,-0.623474347333132,0.155915944914945
"Control","Ufc1",-0.308275614689782,0.682178320758465,0.102247812555588,0.812355368627308
"ISR","AIMP1",0.0187305907609028,0.997029291296654,-0.27414871434691,0.405631037880044
"ISR","Atf6",0.612147653244588,0.940054034835702,-0.778052670695787,0.479531860826628
"ISR","chrb",0.153606098946314,0.955687140385076,0.0112887145572815,0.984618903637926
"ISR","crc",-0.13602895863017,0.99686926944711,0.340931244770276,0.700753036775891
"ISR","CysRS",-0.120235567380918,0.980950988535372,-0.0238991841749071,0.964317812404015
"ISR","Gadd45",0.232661383035585,0.986976325248193,1.04925136041502,2.54209333577694e-06
"ISR","PPP1R15",-0.027329362567821,0.99686926944711,-0.0703173225474435,0.814534829936398
"ISR","scyl",-0.291317451839711,0.928790266462657,-0.46430336423182,0.240304076066573
"ISR","trbl",0.19494610186959,0.871232856025859,-0.148239154789383,0.645055392301211
"ISR","TrpRS",0.307470611225274,0.271525918346151,0.321887143318573,0.113885021815174
"ISR","TyrRS",0.354804396083575,0.19837860942273,-0.0110006139059386,0.979159418202442
"UPR (ATF6)","Creld",-0.0532992175619995,0.99686926944711,-0.15596724882988,0.835573662735897
"UPR (ATF6)","ERp60",-0.0217097078328415,0.99686926944711,-0.329649351203929,0.0534217914627284
"UPR (ATF6)","foi",-1.10803799752311,0.783293689022486,-0.939715538441441,0.480125808712925
"UPR (ATF6)","Grp170",-0.103948468540882,0.99686926944711,-0.137338208384213,0.877943007749926
"UPR (ATF6)","hlk",0.322362592441092,0.840860615932824,-0.668999826222892,0.0433661532558281
"UPR (ATF6)","Hsc70-3",0.0737043649899116,0.99686926944711,-0.42528994272327,0.353214765830556
"UPR (ATF6)","Manf",-0.448242435459061,0.455045715211451,-0.528004348838912,0.0203993306157242
"UPR (ATF6)","Mis12",1.61267384494358,0.010681576414981,0.850614922780101,0.0119710903651136
"UPR (ATF6)","sgl",0.21513348301788,0.839128128906271,0.0725681401058251,0.856780423532901
"UPR (ATF6)","shv",0.0557364522935493,0.99506227693004,-0.480293836253586,0.0427831178679882
"UPR (ATF6)","Zip71B",-0.31495917187536,0.964133926567744,-0.0233028298583878,0.984187242673297
"UPR (IRE1/XBP1s)","Der-2",0.0887570972535688,0.982326723065421,-0.134517807823509,0.675681438048149
"UPR (IRE1/XBP1s)","ergic53",-0.133975277459533,0.986976325248193,-0.269844044340458,0.469135978161864
"UPR (IRE1/XBP1s)","Hsc70-2",0.206130274820976,0.955097484701412,-0.109766870983219,0.691499592287225
"UPR (IRE1/XBP1s)","Hsc70-4",0.206443956429513,0.99417184827796,-0.815478409072296,0.411965469353329
"UPR (IRE1/XBP1s)","Hsp68",-0.22587448168056,0.849735416444054,-0.201252493402736,0.44990331456974
"UPR (IRE1/XBP1s)","l(1)G0320",-0.703681010547789,0.00121154162731128,-0.278026239382596,0.316882707362551
"UPR (IRE1/XBP1s)","mbl",0.330060461842221,0.981947296700208,-0.00267363085200973,0.998984108941467
"UPR (IRE1/XBP1s)","Srp19",-0.243110982361711,0.835401775497754,-0.352397603304882,0.217099626517489
"UPR (IRE1/XBP1s)","Stt3B",0.0465766641806586,0.99515271483221,-0.409369772702274,0.0192256612084937
"HSR","Gp93",-0.207838517140249,0.65715737568804,-0.500192908622532,0.00152897905574491
"HSR","Hsc70-4",0.206443956429513,0.99417184827796,-0.815478409072296,0.411965469353329
"HSR","Hsp60A",-0.468774974525477,0.986976325248193,-0.00654911389293445,0.997502074822183
"HSR","Hsp60B",8.2382778808735,NA,0.121163368858723,0.693439008023098
"HSR","Hsp67Ba",-0.33865119419437,0.994004272027674,1.22472215365894,0.290642209923673
"HSR","Hsp67Bc",0.295517658949403,0.899233913516213,0.890657469766334,0.000139897978176637
"HSR","Hsp70Bc",0.206830653319746,0.987294280484508,1.2845052216491,0.000915811741360383
"HSR","Hsp83",1.89982309521075,NA,0.38436983555238,0.545829381057595
"HSR","Spn77Bb",0.601385525518419,NA,0.581910427195637,0.703152202665384
"OSR","Gclc",-0.152939817675994,0.995422089238374,-0.0792982291371514,0.958723527565818
"OSR","Gclm",0.318303325947058,0.982021324378881,0.47981393953121,0.783078217395969
"OSR","Men",0.316662382939388,0.931702110497687,-0.832033706422695,0.754686122916607
"OSR","Men-b",0.355427287719307,0.516696616731352,-0.286462654148673,0.353156468872927
"OSR","Prx1",5.99293999075243,0.229849283118254,0.594152078936288,0.00226948819440912
"OSR","Prx2",-0.231876035825267,0.993668458911996,0.177074797751786,0.895902152292237
"OSR","Prx3",-0.173819502301817,0.871232856025859,-0.356543824771059,0.142092612280935
"OSR","Sod1",-0.214107118061803,0.711346538138395,-0.610800925820472,0.000402217325178464
"OSR","Sod3",0.123924110650071,0.992945267671872,-1.43997216758314,2.12276457470056e-05
"OSR","Tob",-0.100432493034997,0.987380724810227,-0.299383349302915,0.246888661941448
"OSR","Trx2",-0.543786113026861,0.804485195082114,-0.405417845952013,0.605404907204496
"OSR","Trxr1",-0.461793456859489,0.536037322373763,0.158668203528479,0.806666306124941
"OSR","Trxr2",4.81362140143347,NA,0.15107190231963,0.702980969594012
