metric,WT_fields,CS_fields,WT_mean,CS_mean,P_field_level_exploratory
Aspect ratio,10,14,2.042632431457431,2.578854797151459,0.015535962668820387
Mitochondrial area,10,22,1.4081350904505674,0.8604951714717424,0.012076560975095579
Mitochondrial perimeter,10,22,4.407903701174876,2.9189721946842933,0.004638933634919512
