group,observations,mean,median,sd
WT,16,0.327773416875,0.261930405,0.20286741646313727
CS,16,0.55761374,0.5293108200000001,0.30543492247047394
WT-H2O2,16,0.353096311875,0.25813942,0.23063707808059675
CS-H2O2,16,0.60929078125,0.6113987949999999,0.2256286559013545
