experiment,dose_mM,genotype,well,raw_absorbance,blank,corrected_absorbance,normalized_pct
7.28.26,0,WT,1,0.7161999940872192,0.10319999853769939,0.6129999955495199,96.59628139084457
7.28.26,0,WT,2,0.7838000059127808,0.10319999853769939,0.6806000073750814,107.24866281292383
7.28.26,0,WT,3,0.7573999762535095,0.10319999853769939,0.6541999777158102,103.08855724651588
7.28.26,0,WT,4,0.6875,0.10319999853769939,0.5843000014623007,92.07374839754596
7.28.26,0,WT,5,0.7465999722480774,0.10319999853769939,0.643399973710378,101.38669715923191
7.28.26,0,WT,6,0.7353000044822693,0.10319999853769939,0.6321000059445699,99.60605299293795
7.28.26,0,CS,1,0.6486999988555908,0.10319999853769939,0.5455000003178915,93.9275668607823
7.28.26,0,CS,2,0.6729999780654907,0.10319999853769939,0.5697999795277914,98.11168770518816
7.28.26,0,CS,3,0.6890000104904175,0.10319999853769939,0.5858000119527181,100.86667233303639
7.28.26,0,CS,4,0.6704000234603882,0.10319999853769939,0.5672000249226888,97.66401142679503
7.28.26,0,CS,5,0.7365999817848206,0.10319999853769939,0.6333999832471212,109.06273004838178
7.28.26,0,CS,6,0.6861000061035156,0.10319999853769939,0.5829000075658163,100.36733162581632
7.28.26,5,WT,1,0.40799999237060547,0.10319999853769939,0.30479999383290607,48.03025478950861
7.28.26,5,WT,2,0.4359999895095825,0.10319999853769939,0.3327999909718831,52.44248255821334
7.28.26,5,WT,3,0.4050000011920929,0.10319999853769939,0.3018000026543935,47.55751744178666
7.28.26,5,WT,4,0.34310001134872437,0.10319999853769939,0.23990001281102497,37.80334308548779
7.28.26,5,WT,5,0.420199990272522,0.10319999853769939,0.3169999917348226,49.95272532598032
7.28.26,5,WT,6,0.44350001215934753,0.10319999853769939,0.34030001362164813,53.624332971874374
7.28.26,5,CS,1,0.510699987411499,0.10319999853769939,0.4074999888737996,70.16587062952654
7.28.26,5,CS,2,0.4909999966621399,0.10319999853769939,0.3877999981244405,66.77380427354319
7.28.26,5,CS,3,0.49559998512268066,0.10319999853769939,0.39239998658498126,67.56585876196571
7.28.26,5,CS,4,0.41440001130104065,0.10319999853769939,0.31120001276334125,53.58434461754544
7.28.26,5,CS,5,0.43950000405311584,0.10319999853769939,0.33630000551541644,57.90621674596304
7.28.26,5,CS,6,0.42480000853538513,0.10319999853769939,0.32160000999768573,55.3750805204081
7.28.26,10,WT,1,0.3328999876976013,0.10319999853769939,0.22969998915990192,36.19602765000577
7.28.26,10,WT,2,0.4189999997615814,0.10319999853769939,0.315800001223882,49.76363132613902
7.28.26,10,WT,3,0.41040000319480896,0.10319999853769939,0.30720000465710956,48.40844748542863
7.28.26,10,WT,4,0.3846000134944916,0.10319999853769939,0.2814000149567922,44.342895963297465
7.28.26,10,WT,5,0.3959999978542328,0.10319999853769939,0.2927999993165334,46.13930070238336
7.28.26,10,WT,6,0.4009000062942505,0.10319999853769939,0.2977000077565511,46.911441970777915
7.28.26,10,CS,1,0.41780000925064087,0.10319999853769939,0.31460001071294147,54.16977731149868
7.28.26,10,CS,2,0.46720001101493835,0.10319999853769939,0.36400001247723895,62.675775415870504
7.28.26,10,CS,3,0.4359999895095825,0.10319999853769939,0.3327999909718831,57.303562575734155
7.28.26,10,CS,4,0.44929999113082886,0.10319999853769939,0.34609999259312946,59.5936391858169
7.28.26,10,CS,5,0.45419999957084656,0.10319999853769939,0.35100000103314716,60.437352971517996
7.28.26,10,CS,6,0.4652000069618225,0.10319999853769939,0.3620000084241231,62.33140233738948
7.28.26,20,WT,1,0.2782000005245209,0.10319999853769939,0.17500000198682147,27.576426685229535
7.28.26,20,WT,2,0.3269999921321869,0.10319999853769939,0.2237999935944875,35.26630883111637
7.28.26,20,WT,3,0.34689998626708984,0.10319999853769939,0.24369998772939044,38.40214153435814
7.28.26,20,WT,4,0.2856000065803528,0.10319999853769939,0.18240000804265338,28.742516526098626
7.28.26,20,WT,5,0.29510000348091125,0.10319999853769939,0.19190000494321185,30.239522040749346
7.28.26,20,WT,6,0.28839999437332153,0.10319999853769939,0.18519999583562213,29.18373742447413
7.28.26,20,CS,1,0.30059999227523804,0.10319999853769939,0.19739999373753864,33.98955288596825
7.28.26,20,CS,2,0.35530000925064087,0.10319999853769939,0.25210001071294147,43.408140418047054
7.28.26,20,CS,3,0.3716000020503998,0.10319999853769939,0.2684000035127004,46.214774080077156
7.28.26,20,CS,4,0.35409998893737793,0.10319999853769939,0.25089999039967853,43.20151349202943
7.28.26,20,CS,5,0.3882000148296356,0.10319999853769939,0.2850000162919362,49.07306703938584
7.28.26,20,CS,6,0.35499998927116394,0.10319999853769939,0.25179999073346454,43.35648112076847
7.28.26,40,WT,1,0.20190000534057617,0.10319999853769939,0.09870000680287679,15.553105545885392
7.28.26,40,WT,2,0.21940000355243683,0.10319999853769939,0.11620000501473744,18.31074790132585
7.28.26,40,WT,3,0.22689999639987946,0.10319999853769939,0.12369999786218007,19.492593618749456
7.28.26,40,WT,4,0.2345000058412552,0.10319999853769939,0.1313000073035558,20.690199908965003
7.28.26,40,WT,5,0.21310000121593475,0.10319999853769939,0.10990000267823537,17.317996183743546
7.28.26,40,WT,6,0.2053000032901764,0.10319999853769939,0.102100004752477,16.088875792300257
7.28.26,40,CS,1,0.22830000519752502,0.10319999853769939,0.12510000665982562,21.540493552662777
7.28.26,40,CS,2,0.2386000007390976,0.10319999853769939,0.1354000022013982,23.314010545023972
7.28.26,40,CS,3,0.2565000057220459,0.10319999853769939,0.1533000071843465,26.3961442093034
7.28.26,40,CS,4,0.2581999897956848,0.10319999853769939,0.15499999125798541,26.688857990505845
7.28.26,40,CS,5,0.250900000333786,0.10319999853769939,0.1477000017960866,25.431900615866194
7.28.26,40,CS,6,0.24619999527931213,0.10319999853769939,0.14299999674161273,24.62262465116803
7.15.26,0,WT,1,0.6845999956130981,0.12145000323653221,0.5631499923765659,99.18978277005
7.15.26,0,WT,2,0.6780999898910522,0.12145000323653221,0.55664998665452,98.04491166234928
7.15.26,0,WT,3,0.7049000263214111,0.12145000323653221,0.5834500230848789,102.76530556760069
7.15.26,0,CS,1,0.40860000252723694,0.12145000323653221,0.2871499992907047,77.08379941130246
7.15.26,0,CS,2,0.5684000253677368,0.12145000323653221,0.4469500221312046,119.9812151765317
7.15.26,0,CS,3,0.5048999786376953,0.12145000323653221,0.3834499754011631,102.93498541216583
7.15.26,20,WT,1,0.2529999911785126,0.12145000323653221,0.13154998794198036,23.170407358618135
7.15.26,20,WT,2,0.2529999911785126,0.12145000323653221,0.13154998794198036,23.170407358618135
7.15.26,20,WT,3,0.27959999442100525,0.12145000323653221,0.15814999118447304,27.8555686460593
7.15.26,20,CS,1,0.25360000133514404,0.12145000323653221,0.13214999809861183,35.47492241267488
7.15.26,20,CS,2,0.3001999855041504,0.12145000323653221,0.17874998226761818,47.98442560308577
7.15.26,20,CS,3,0.28999999165534973,0.12145000323653221,0.16854998841881752,45.24629472452191
7.15.26,40,WT,1,0.15950000286102295,0.12145000323653221,0.03804999962449074,6.701893364547923
7.15.26,40,WT,2,0.17059999704360962,0.12145000323653221,0.04914999380707741,8.656978202733221
7.15.26,40,WT,3,0.17800000309944153,0.12145000323653221,0.05654999986290932,9.960369844589462
7.15.26,40,CS,1,0.17739999294281006,0.12145000323653221,0.05594998970627785,15.019459495860668
7.15.26,40,CS,2,0.17470000684261322,0.12145000323653221,0.05325000360608101,14.294663439879569
7.15.26,40,CS,3,0.1624000072479248,0.12145000323653221,0.04095000401139259,10.992797850960674
