window,metric,mode,phase,WT_n,CS_n,WT_mean,CS_mean,WT_median,CS_median,P,Holm_P_six_summary_tests
legacy_0_60,sleep,unfiltered,Total,55,131,75.7201541782998,78.6155540901186,78.6838340486409,80,0.492457124889456,0.808527527970368
legacy_0_60,sleep,unfiltered,Day,52,127,73.1025614117363,68.5918511731635,79.5138888888889,71.5277777777778,0.0653513510938948,0.261405404375579
legacy_0_60,sleep,unfiltered,Night,55,131,78.0855514653927,85.8424937512887,80,87.037037037037,0.000490669374329896,0.00245334687164948
legacy_0_60,sleep,legacy_independent_phase_IQR,Total,53,129,77.8270608073746,79.2059082698537,79.1666666666667,80.0664451827243,0.637830127723531,0.669139605512563
legacy_0_60,sleep,legacy_independent_phase_IQR,Day,51,127,74.2772303718792,68.5918511731635,79.8611111111111,71.5277777777778,0.0384228964322612,0.153691585729045
legacy_0_60,sleep,legacy_independent_phase_IQR,Night,53,129,80.0483313436123,86.4516217425062,80.5157593123209,87.1046228710462,0.000736238407737321,0.00441743044642393
legacy_0_60,sleep,paired_phase_IQR,Total,53,129,77.8270608073746,79.2059082698537,79.1666666666667,80.0664451827243,0.637830127723531,0.637830127723531
legacy_0_60,sleep,paired_phase_IQR,Day,51,126,74.2772303718792,68.9323067821216,79.8611111111111,71.875,0.0449643589604678,0.179857435841871
legacy_0_60,sleep,paired_phase_IQR,Night,51,126,80.1319260368258,86.4258663196424,81.1170212765958,87.0708299540416,0.00169733615189671,0.0101840169113803
legacy_0_60,activity,unfiltered,Total,55,131,0.359357272591476,0.279886816183637,0.300470957613815,0.262395543175487,0.0733538672451083,0.261405404375579
legacy_0_60,activity,unfiltered,Day,52,127,0.365875170985215,0.377645081094099,0.330208333333333,0.337096774193548,0.404263763985184,0.808527527970368
legacy_0_60,activity,unfiltered,Night,55,131,0.349904771162018,0.212802166523372,0.30945558739255,0.18287037037037,0.000274794962433326,0.00164876977459995
legacy_0_60,activity,legacy_independent_phase_IQR,Total,51,127,0.304726073903311,0.265691248738848,0.279256080114449,0.252238805970149,0.15784755783754,0.47354267351262
legacy_0_60,activity,legacy_independent_phase_IQR,Day,49,120,0.319709932020591,0.34688215235528,0.309027777777778,0.332986111111111,0.334569802756282,0.669139605512563
legacy_0_60,activity,legacy_independent_phase_IQR,Night,52,130,0.301712629500937,0.207726143302897,0.28407326007326,0.18276171579743,0.00109232466052092,0.00546162330260462
legacy_0_60,activity,paired_phase_IQR,Total,51,127,0.304726073903311,0.265691248738848,0.279256080114449,0.252238805970149,0.15784755783754,0.47354267351262
legacy_0_60,activity,paired_phase_IQR,Day,48,120,0.313812685233983,0.34688215235528,0.303472222222222,0.332986111111111,0.24875315583222,0.49750631166444
legacy_0_60,activity,paired_phase_IQR,Night,48,120,0.272125757275281,0.208030878863845,0.27494193608324,0.18276171579743,0.0110770149776382,0.055385074888191
corrected_12_60,sleep,unfiltered,Total,52,127,74.804954581925,75.7051911603248,77.159735527255,76.4302059496568,0.954393288918054,1
corrected_12_60,sleep,unfiltered,Day,52,127,73.1025614117363,68.5918511731635,79.5138888888889,71.5277777777778,0.0653513510938948,0.261405404375579
corrected_12_60,sleep,unfiltered,Night,49,116,75.7927720664185,83.3428491446643,78.6096256684492,85.5922284644195,0.000876790867954852,0.00438395433977426
corrected_12_60,sleep,legacy_independent_phase_IQR,Total,51,126,75.7495938386211,76.0326882374658,77.3019271948608,77.3240138659175,0.950928201847765,1
corrected_12_60,sleep,legacy_independent_phase_IQR,Day,51,127,74.2772303718792,68.5918511731635,79.8611111111111,71.5277777777778,0.0384228964322612,0.153691585729045
corrected_12_60,sleep,legacy_independent_phase_IQR,Night,49,113,75.7927720664185,84.8148320906329,78.6096256684492,85.8657243816255,0.000249450882871693,0.00149670529723016
corrected_12_60,sleep,paired_phase_IQR,Total,51,126,75.7495938386211,76.0326882374658,77.3019271948608,77.3240138659175,0.950928201847765,1
corrected_12_60,sleep,paired_phase_IQR,Day,48,113,73.5394057115063,67.2462745669957,79.5138888888889,69.4444444444445,0.0280173743579095,0.112069497431638
corrected_12_60,sleep,paired_phase_IQR,Night,48,113,76.472571626919,84.8148320906329,78.6404771698889,85.8657243816255,0.00045938075217272,0.00275628451303632
corrected_12_60,activity,unfiltered,Total,52,127,0.364122205060463,0.316652370536854,0.314123802036538,0.28582995951417,0.442899776879195,1
corrected_12_60,activity,unfiltered,Day,52,127,0.365875170985215,0.377645081094099,0.330208333333333,0.337096774193548,0.404263763985184,1
corrected_12_60,activity,unfiltered,Night,49,116,0.374194015165956,0.279222665388522,0.303030303030303,0.1789788223018,0.000659773380321388,0.00395864028192833
corrected_12_60,activity,legacy_independent_phase_IQR,Total,48,122,0.304321389674977,0.296528696767366,0.299799196787149,0.269189855712603,0.6995097499512,1
corrected_12_60,activity,legacy_independent_phase_IQR,Day,49,120,0.319709932020591,0.34688215235528,0.309027777777778,0.332986111111111,0.334569802756282,1
corrected_12_60,activity,legacy_independent_phase_IQR,Night,46,112,0.315221907728839,0.215986273030821,0.292518352059925,0.172942386831276,0.000811037681990166,0.00405518840995083
corrected_12_60,activity,paired_phase_IQR,Total,48,122,0.304321389674977,0.296528696767366,0.299799196787149,0.269189855712603,0.6995097499512,1
corrected_12_60,activity,paired_phase_IQR,Day,45,107,0.320797150473844,0.353565098486895,0.309027777777778,0.334027777777778,0.248380390868949,0.745141172606848
corrected_12_60,activity,paired_phase_IQR,Night,45,107,0.303694728919959,0.217948368845255,0.29063670411985,0.172222222222222,0.00200459635296283,0.0100229817648142
