metric,phase,Z,P,Holm_P
sleep,Total,-0.401506971467706,0.688046906475517,1
sleep,Day,-2.05874710829555,0.0395184708696615,0.158073883478646
sleep,Night,3.34938523907313,0.000809910993140071,0.00485946595884043
activity,Total,-0.487094717582606,0.626191209694235,1
activity,Day,0.901621910046401,0.367257748050702,1
activity,Night,-2.75922586108002,0.00579384756323504,0.0289692378161752
