"gene","stringId","description","module_memberships","membership_count","log2FoldChange","padj","stat","comparison","selection"
"LysE","7227.FBpp0072526","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.53471641095591,3.674946672862e-06,-5.6660957087366,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"LysP","7227.FBpp0072529","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.88632282676843,6.34717260517523e-09,-6.74487881223575,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"LysX","7227.FBpp0072533","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-7.77200990859047,8.15550597256061e-06,-5.5067756019293,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"NimC1","7227.FBpp0310237","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-0.930760483322617,0.0805766629284055,-3.09025689108405,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"PGRP-SC2","7227.FBpp0087788","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.51567003873468,0.00148741359271586,-4.38778961876258,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"PPO1","7227.FBpp0291497","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.0211585213509,0.00269358608705197,-4.24382104120379,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Tep2","7227.FBpp0079133","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.27355886023526,0.0322781502646514,-3.45544229892224,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Uev1A","7227.FBpp0076859","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-1.18653581843132,0.00404301130251378,-4.12646045086896,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"edin","7227.FBpp0074940","innate immune/antimicrobial defense","innate immune/antimicrobial defense",1,-2.57245581724101,0.0176367658867611,-3.65888551947549,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Cyp28a5","7227.FBpp0080164","oxidoreductase activity","oxidoreductase activity",1,1.27677712689219,8.02865715066763e-08,6.32193712168539,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Cyp4e3","7227.FBpp0079515","oxidoreductase activity","oxidoreductase activity",1,1.43473957274516,0.0488896241637087,3.29617540978746,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"Cyp6a8","7227.FBpp0086585","oxidoreductase activity","oxidoreductase activity",1,0.582927595144023,0.0561540790349848,3.24193352475057,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"GstO1","7227.FBpp0076376","oxidoreductase activity","oxidoreductase activity",1,0.714167671996789,0.0106513794011563,3.84375986204063,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"ND4L","7227.FBpp0100184","oxidoreductase activity","oxidoreductase activity",1,3.92307620239952,0.0083289303223547,3.9213734520541,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"ND6","7227.FBpp0100185","oxidoreductase activity","oxidoreductase activity",1,1.3256553325412,0.0906922222774923,3.02565646480951,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"cd","7227.FBpp0083696","oxidoreductase activity","oxidoreductase activity",1,1.20421364304957,0.0311676135518336,3.47060815900136,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
"shop","7227.FBpp0074426","oxidoreductase activity","oxidoreductase activity",1,0.594471521157772,0.0294400150153801,3.49718177675903,"female dMIC60-CS versus female dMIC60-WT; CSF3 excluded","Up to 15 GSEA leading-edge genes per consolidated significant module"
