"GO_ID","GO_term","GO_padj","collapsed_program","gene","direction","log2FoldChange","padj"
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG14893","Upregulated",2.3023744229898,5.29212429383357e-07
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG9577","Upregulated",0.892030455706982,3.18264690073472e-06
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG5122","Upregulated",6.98868906128901,0.018050161984474
"GO:0042579","microbody",0.0289518397845672,"Peroxisome / microbody","CG5265","Upregulated",6.783745235477,0.0352252037858784
"GO:0005747","mitochondrial respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0005747","mitochondrial respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0005747","mitochondrial respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0016469","proton-transporting two-sector ATPase complex",0.0289518397845672,"ATP synthesis / proton transport","knon","Upregulated",7.60321371078838,0.0043172536847864
"GO:0016469","proton-transporting two-sector ATPase complex",0.0289518397845672,"ATP synthesis / proton transport","ATPsynG","Upregulated",5.85383354107608,0.018050161984474
"GO:0016469","proton-transporting two-sector ATPase complex",0.0289518397845672,"ATP synthesis / proton transport","ATP8","Upregulated",2.43236618259867,0.0240568325656283
"GO:0030964","NADH dehydrogenase complex",0.0289518397845672,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0030964","NADH dehydrogenase complex",0.0289518397845672,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0030964","NADH dehydrogenase complex",0.0289518397845672,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0045271","respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0045271","respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0045271","respiratory chain complex I",0.0289518397845672,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0003954","NADH dehydrogenase activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0003954","NADH dehydrogenase activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0003954","NADH dehydrogenase activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0003955","NAD(P)H dehydrogenase (quinone) activity",0.0144166107948239,"Redox / electron transfer","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0003955","NAD(P)H dehydrogenase (quinone) activity",0.0144166107948239,"Redox / electron transfer","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0003955","NAD(P)H dehydrogenase (quinone) activity",0.0144166107948239,"Redox / electron transfer","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.0144166107948239,"Redox / electron transfer","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.0144166107948239,"Redox / electron transfer","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",0.0144166107948239,"Redox / electron transfer","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0050136","NADH dehydrogenase (quinone) activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND2","Upregulated",1.94487410705515,1.31052134500606e-06
"GO:0050136","NADH dehydrogenase (quinone) activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND4L","Upregulated",4.36097714380546,1.46320223481204e-05
"GO:0050136","NADH dehydrogenase (quinone) activity",0.0144166107948239,"Complex I / NADH dehydrogenase","ND6","Upregulated",1.35519343284636,0.00173072368349273
"GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity",0.0144166107948239,"Redox / electron transfer","CG9360","Upregulated",1.33974175609357,1.12603627893606e-13
"GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity",0.0144166107948239,"Redox / electron transfer","CG10962","Upregulated",1.18219170872228,4.70777463615036e-10
"GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)] activity",0.0144166107948239,"Redox / electron transfer","CG40485","Upregulated",1.80162119193626,0.0156945817248463
