"queryIndex","queryItem","stringId","ncbiTaxonId","taxonName","preferredName","annotation","gene"
25,"DptA","7227.FBpp0085802",7227,"Drosophila melanogaster","DptA","Diptericin A (DptA) encodes an immune inducible antibacterial peptide with activity against Gram-negative bacteria. It is expressed in the fat body during the systemic immune response and in various epithelia. Its expression is regulated at the transcriptional level by the immune deficiency pathway; Belongs to the attacin/sarcotoxin-2 family.","DptA"
26,"Drs","7227.FBpp0072935",7227,"Drosophila melanogaster","Drs","Drosomycin; Possesses antifungal activity and is active against a relatively broad spectrum of filamentous fungi. It inhibits spore germination at high concentrations and at low concentrations delays growth of hyphae which subsequently exhibit abnormal morphology. Spz C-106 in the hemolymph controls expression of the antifungal peptide by acting as a ligand of Tl and inducing an intracellular signaling pathway. Part of a psh-dependent Toll pathway, which may function in activating the systematic immune response in response to localized melanization of the tracheal system.","Drs"
27,"edin","7227.FBpp0074940",7227,"Drosophila melanogaster","edin","Elevated during infection (edin) encodes a short secreted peptide involved in humoral immune response. Its expression is strongly induced upon bacterial, viral and wasp stimulation as well as in other stress situations. It is required in the fat body for a normal encapsulation against parasitoid wasps by the larval hemocytes.","edin"
28,"GstO1","7227.FBpp0076376",7227,"Drosophila melanogaster","GstO1","Glutathione S-transferase omega class; Glutathione S transferase O1 (GstO1) encodes a transferase involved in glutathione metabolism; Belongs to the GST superfamily.","GstO1"
29,"Hsp70Ab","7227.FBpp0081956",7227,"Drosophila melanogaster","Hsp70Ab","Heat-shock-protein-70Ab (Hsp70Ab) encodes a protein involved in response to heat shock and hypoxia.","Hsp70Ab"
31,"knon","7227.FBpp0086272",7227,"Drosophila melanogaster","knon","Knotted onions; Proton transmembrane transporter activity. It is involved in the biological process described with: Nebenkern assembly; ATP synthesis coupled proton transport.","knon"
32,"LysD","7227.FBpp0072530",7227,"Drosophila melanogaster","LysD","Lysozyme D; Unlikely to play an active role in the humoral immune defense. May have a function in the digestion of bacteria in the food. Belongs to the glycosyl hydrolase 22 family.","LysD"
33,"LysE","7227.FBpp0072526",7227,"Drosophila melanogaster","LysE","Lysozyme E; Unlikely to play an active role in the humoral immune defense. May have a function in the digestion of bacteria in the food; Belongs to the glycosyl hydrolase 22 family.","LysE"
34,"LysP","7227.FBpp0072529",7227,"Drosophila melanogaster","LysP","Lysozyme P; Unlikely to play an active role in the humoral immune defense. May have a function in the digestion of bacteria in the food. Belongs to the glycosyl hydrolase 22 family.","LysP"
35,"LysX","7227.FBpp0072533",7227,"Drosophila melanogaster","LysX","Lysozyme X; Unlikely to play an active role in the humoral immune defense. May have a function in the digestion of bacteria in the food. May be involved in the clearance of bacteria from the larval gut before metamorphosis; Belongs to the glycosyl hydrolase 22 family.","LysX"
36,"Mdr65","7227.FBpp0076719",7227,"Drosophila melanogaster","Mdr65","Multidrug resistance protein homolog 65; Multi drug resistance 65 (Mdr65) encodes a member of the MRP/ABCC subfamily of ATP-binding cassette (ABC) transporters. It is involved in humoral/CNS barrier drug exclusion and response to insecticide; Belongs to the ABC transporter superfamily. ABCB family. Multidrug resistance exporter (TC 3.A.1.201) subfamily.","Mdr65"
37,"mRpL51","7227.FBpp0079304",7227,"Drosophila melanogaster","mRpL51","39S ribosomal protein L51, mitochondrial; Structural constituent of ribosome. It is involved in the biological process described with: mitochondrial translation; translation; Belongs to the mitochondrion-specific ribosomal protein mL51 family.","mRpL51"
38,"mRpS17","7227.FBpp0072184",7227,"Drosophila melanogaster","mRpS17","Mitochondrial ribosomal protein S17; Structural constituent of ribosome. It is involved in the biological process described with: translation; mitochondrial translation.","mRpS17"
