"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"timeout",1.03000118817634,1.04232376134695,0.967287009244418,0.860081948727993,0.94600685971647,0.851618462810405,-0.861697051938124,-1.0422383803722,-1.24722672116208,-0.76200928979801,-0.876522973294699,-0.907624813457461
"CG11893",0.959433168821227,0.955692213823355,0.731475674066308,1.05473396333469,1.11513259092811,0.802386054981871,-0.895353497091813,-1.43007108418831,-0.600628932911458,-0.894110929787059,-0.841535458460009,-0.957153763516911
"CG42650",-1.06801577589172,-1.07866717291327,-0.0675734788018347,1.12884047202671,1.17100258173169,1.16997155924622,-1.07287986330877,-1.05970388877237,-1.06540388135664,0.70820399385487,0.569395570000878,0.664829884184235
"asRNA:CR44370",-1.10981215349424,-0.508244983092418,-0.275042634422679,1.42529667912654,1.221578247082,1.3011887737674,-1.11645898114388,-1.09848960239389,-1.10624937168227,0.358100431365307,0.452984993772544,0.45514860111559
"CG34296",-0.444770109168311,0.0643313661847163,-0.515318804530772,1.63931228735397,1.67182452873395,0.980706517562435,0.232767199205225,0.153681083673235,-0.694769405052983,-0.614278884727999,-1.02290558917974,-1.4505801900537
"CG12896",0.720841256209163,1.41961541743104,0.46051406430087,0.545078040818612,0.605678093851199,0.734676208603394,0.112439831433424,0.493495440604763,-0.990349642155756,-1.73345685599795,-1.21951125244971,-1.14902060264906
"Drsl5",1.38300327022849,0.743345799556351,0.879099609624267,0.999275661054894,1.14650128998822,0.354745884861543,-0.737689020220493,-1.11880912576205,-0.625239156573454,-1.16143610357678,-1.09307153493184,-0.769726574249128
"ImpE2",-1.10412888660869,-1.38628721242826,-0.707383048257243,1.15174924940621,1.43426468303411,1.79999895341289,-0.0430628591479929,-0.713636726513931,-0.0637568677540567,-0.259754700736827,0.216717319579318,-0.32471990398552
"Cpr47Ec",-0.31000989246418,-0.0451249534837672,-0.793737740133706,1.56027987437225,1.904616552411,1.11564965326452,-0.256949178029638,-1.17251510930567,-0.467961359458628,-0.990907052885261,0.024823756006393,-0.568164550293313
"CG4477",-0.830498439731653,-1.15086484523447,-0.0114283171153754,1.09017544952835,1.09734169047702,1.09373400868344,-1.14514788648282,-1.13210679544816,-1.13775266420355,0.695963715433513,0.687052372597561,0.743531711496146
"CG43760",-1.02618494248692,-1.03949835764554,-0.350767534529785,1.23510121058867,1.20625014371829,1.22307362126131,-1.03225569185506,-1.01584527200479,-1.02293123592548,0.6121800214053,0.518354750748826,0.692523286725187
"lncRNA:CR44344",-0.713168434769343,-0.72701441681673,0.18174366205124,1.38893363506296,1.67863083074016,1.70266761290716,-0.719468580158363,-0.304862077435774,-0.315187951600324,-0.713211291393131,-0.749189020820292,-0.709873967767553
"dyl",0.13974171231318,-0.501293389401378,-0.566276942158202,1.44848752017064,1.45448572156885,1.49765948265033,-0.533679897373531,-1.00177180931482,-1.44795533873611,-0.453806205752187,0.406686492217447,-0.442277346184219
"CG13898",-0.936040082699646,-1.14236743832833,-0.134672137910952,1.03966023278065,1.06628946609583,1.0992013160578,-0.994488401857834,-1.23742759113065,-1.04948477529891,0.808734983413686,0.702919860156447,0.777674568721917
