"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33425"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33426"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33427"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33428"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33429"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33430"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33431"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33432"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33433"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33434"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33435"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33436"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33437"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33438"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33439"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33440"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33441"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33442"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33443"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33444"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33445"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33446"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33447"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33448"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33449"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33450"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33451"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33452"
0,NA,NA,NA,NA,NA,"7B2"
5.43727183457738,-1.21186353993325,1.18981664408895,-1.01852965829132,0.308426313664289,0.907508521973534,"7SLRNA:CR32864"
5.60769468648173,-1.31351934654986,1.13306279507435,-1.15926438698719,0.246348433419669,0.854055625009302,"7SLRNA:CR42652"
456.628336200856,0.411798159487285,0.925591170115432,0.444902860769436,0.656389955161631,0.99223041704252,"825-Oak"
0.307990073245655,1.76247937778782,4.04493905232293,0.435724581999736,0.66303656828662,NA,"AANATL2"
49.9380072361723,-1.29556247267352,0.553754291399044,-2.33959807227917,0.0193045024470103,0.257165178466661,"AANATL3"
6.24749813856545,-0.967406457648971,0.955437919910343,-1.01252675604476,0.311286260353748,0.910116933563536,"AANATL4"
0,NA,NA,NA,NA,NA,"AANATL5"
0.769975183114139,3.07761917301778,3.96287949173891,0.776611849901932,0.437387808126523,NA,"AANATL6"
0.84195761444138,-3.21781530457537,3.71676823514982,-0.865756243325637,0.386623849514399,NA,"AANATL7"
6.43997680957879,-0.688456700930583,1.16868813744146,-0.589085042343102,0.555804226785743,0.982024075667608,"ABCB7"
27.1910724540328,-0.147790927220124,0.501618527846373,-0.294628126785195,0.768277973361201,0.995153003289659,"ACC"
1214.80779073689,-0.0233848424063074,0.151346775969721,-0.154511665388801,0.877206314021109,0.996870824825408,"ACOX1"
0,NA,NA,NA,NA,NA,"ACXA"
0.325817890194329,1.83234677478245,4.0385146215458,0.45371799943641,0.650031810096124,NA,"ACXB"
0,NA,NA,NA,NA,NA,"ACXC"
0,NA,NA,NA,NA,NA,"ACXD"
0.853494233287003,3.21719970586674,3.70634699976338,0.868024420290959,0.385380964153829,NA,"ACXE"
124.547428429083,0.191475147996924,0.262521714764118,0.729368799716126,0.465776097695071,0.97627382348359,"ADD1"
1118.05165198346,0.106002093511851,0.343550070833598,0.308549182524239,0.757664482187967,0.995153003289659,"AGBE"
136.361322081328,-0.00891212704731451,0.328408071591385,-0.0271373568990815,0.978350179226907,0.997738893066727,"AGO1"
0,NA,NA,NA,NA,NA,"AGO2"
2.36205924751261,-0.834660995995551,1.70850731077354,-0.48853229408638,0.625172857030883,NA,"AGO3"
0,NA,NA,NA,NA,NA,"AIF"
316.740242309901,0.0187309247224691,0.200483672275269,0.0934286793028765,0.925563007368864,0.99702764477468,"AIMP1"
12.8984960403675,-0.827028048538912,0.820733006607375,-1.00767002408927,0.313612900112609,0.910116933563536,"AIMP2"
478.850463723862,-0.0303709500522887,0.173348109422263,-0.175202084138728,0.860920846756811,0.996870824825408,"AIMP3"
1211.95192051581,0.16317873452175,0.162336194942662,1.00519009072121,0.314805325784916,0.910473042603068,"ALiX"
0,NA,NA,NA,NA,NA,"AMPKalpha"
53.591718647244,0.553568965958315,0.392089089580754,1.41184486043778,0.15799564624045,0.717427246266013,"AMPdeam"
1427.2167970123,-0.505020276364414,0.308098939471527,-1.6391496745515,0.101182091792078,0.594821599979087,"AOX1"
4.43136572712487,-0.534152691159493,1.18733899815732,-0.449873786667892,0.652801449778548,NA,"AOX2"
0.628187928869483,2.78305643947329,3.97547974812911,0.70005549412823,0.48389264859965,NA,"AOX3"
23.4610760848329,0.514590269175273,0.604817372212722,0.850819260188652,0.394869760951922,0.94508649384471,"AOX4"
860.968610747342,0.0480071779807236,0.138329817764709,0.347048660632093,0.728554762014623,0.994173670463347,"AP-1-2beta"
0.648433246926707,-2.84467527095099,3.97423963697932,-0.715778496213964,0.474128132446528,NA,"AP-1gamma"
623.200471131988,0.115330581067415,0.138158667541383,0.834769060239161,0.403847749339757,0.94790950305597,"AP-1mu"
431.204444060026,-0.0436752761931262,0.15867545670392,-0.275249097121693,0.783124869067558,0.995420125112646,"AP-1sigma"
524.635858196389,-0.153921432399198,0.144642588134863,-1.06415015372709,0.287260683720004,0.89487014925148,"AP-2alpha"
0,NA,NA,NA,NA,NA,"AP-2mu"
697.103681454882,-0.199215258262365,0.154600871690593,-1.28857784619133,0.197544889340912,0.796159294554506,"AP-2sigma"
74.0188614608688,0.103948906973182,0.413921307299738,0.251132051286038,0.801712016414298,0.995420125112646,"APC10"
0,NA,NA,NA,NA,NA,"APC4"
0.313157071767633,-0.0178891522117596,4.0804728567969,-0.00438408803086667,0.996502015052319,NA,"APC7"
1.54078564757301,4.06994128227857,3.15679568911785,1.28926344403869,0.197306515149197,NA,"APP-BP1"
4.6950838925779,-0.0227068350166616,1.40043845655436,-0.0162140898876267,0.987063594836738,NA,"AQP"
0,NA,NA,NA,NA,NA,"ARY"
2.59451509643571,-1.16980831759806,1.56885268081699,-0.745645739655347,0.455881444750154,NA,"ASPP"
202796.470165646,0.350183796056917,0.221508337377209,1.580905713091,0.113899597849541,0.629063260419393,"ATP6"
4791.71085652541,-0.289284730280497,0.118482924665092,-2.44157317265926,0.0146234245097767,0.215053753737465,"ATP6AP2"
187.303760697462,-0.428126417080747,0.233020486007595,-1.83729089410102,0.0661669634395544,0.50466468470752,"ATP7"
25.2614440604988,2.43236817939651,0.704845631807091,3.45092325132296,0.000558672414836972,0.0240569700982901,"ATP8"
78.4666977204792,0.234765444954329,0.314502575841679,0.746465889273065,0.455386029757651,0.972614666687205,"ATP8A"
0,NA,NA,NA,NA,NA,"ATP8B"
9.1000278138891,1.27283165996091,0.824268495998216,1.54419544861953,0.122540991121215,0.64798980836864,"ATPCL"
20146.7168729891,0.117599560920555,0.106603042080438,1.10315389341159,0.269960340002761,0.875325527921786,"ATPsynB"
0,NA,NA,NA,NA,NA,"ATPsynC"
0.325817890194329,1.83234677478245,4.0385146215458,0.45371799943641,0.650031810096124,NA,"ATPsynCF6"
3.92595734452739,3.42227519171992,2.35790586218162,1.45140450541715,0.146667255921729,NA,"ATPsynCF6L"
0.343645707143002,1.8997983161881,4.03259147008314,0.471111028796808,0.637561449693915,NA,"ATPsynD"
0.171822853571501,0.943883520001871,4.0804728567969,0.231317191199944,0.817068392170902,NA,"ATPsynE"
