"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"CG5196",15.9554706240959,15.7074937355284,9.27843409286104,7.63977768695066,12.308194187445,13.0847042225072
"CG5199",0,0,0,0,0,0
"CG5214",11516.8581398553,11613.3816918739,11900.107192655,10368.1332934029,9897.83949240365,11293.1062597332
"CG5217",0,0,113.403083357191,0,0,8.05212567538907
"CG5225",24.9304228501499,7.39176175789573,13.4021825785771,20.0544164282455,9.23114564058372,31.2019869921326
"CG5235",0,0,0,0,0,0
"CG5245",0.997216914005997,0.923970219736966,1.030937121429,3.81988884347533,12.308194187445,7.04560996596544
"CG5246",0.997216914005997,0.923970219736966,1.030937121429,0.954972210868833,0,0
"CG5250",0,0,1.030937121429,0,0,0
"CG5254",364.981390526195,332.629279105308,291.755205364408,321.825635062797,296.422343347633,281.824398638617
"CG5255",26.9248566781619,25.8711661526351,24.7424909142961,45.838666121704,30.7704854686124,51.3323011806053
"CG5262",3.98886765602399,4.61985109868483,1.030937121429,0,2.05136569790749,2.01303141884727
"CG5265",0.997216914005997,1.84794043947393,57.7324788000243,0,0,0
"CG5267",2.99165074201799,5.5438213184218,8.24749697143204,2.8649166326065,1.02568284895375,2.01303141884727
"CG5273",0,0,0,0,0,0
"CG5274",0,0,0,0,0,0
"CG5276",0,0,0,0,0,0
"CG5280",4.98608457002998,5.5438213184218,43.2993591000182,5.729833265213,4.10273139581499,2.01303141884727
"CG5281",90.7467391745457,95.1689326329076,112.372146235762,115.551637515129,74.8748479736235,80.5212567538907
"CG5282",243.320927017463,186.641984386867,179.383059128647,196.72427543898,131.28740466608,211.368298978963
"CG5290",118.668812766714,114.572307247384,116.495894721478,194.814331017242,157.955158738877,137.892652191038
"CG5292",0,0,0,0,0,0
"CG5321",2.99165074201799,1.84794043947393,2.06187424285801,1.90994442173767,0,5.03257854711817
"CG5323",322.101063223937,267.95136372372,308.250199307273,422.097717204024,448.223404992787,464.003742044295
"CG5326",248.307011587493,275.343125481616,195.878053071511,361.934467919288,419.504285222082,213.38133039781
