"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33412"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33413"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33414"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33415"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33417"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33418"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33419"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33420"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33421"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33422"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33423"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33424"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33425"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33426"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33427"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33428"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33429"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33430"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33431"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33432"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33433"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33434"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33435"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33436"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33437"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33438"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33439"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33440"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33441"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33442"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33443"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33444"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33445"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33446"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33447"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33448"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33449"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33450"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33451"
0,NA,NA,NA,NA,NA,"5SrRNA:CR33452"
0,NA,NA,NA,NA,NA,"7B2"
7.11350395001179,-0.210137123613155,0.855163168472151,-0.245727518864721,0.805893168240879,0.925142965783518,"7SLRNA:CR32864"
6.85793491801199,0.334227916389456,0.891492587520881,0.374908239359452,0.707728711151814,0.879419225634394,"7SLRNA:CR42652"
222.817946220516,-1.761421120794,0.595250606336109,-2.95912528613101,0.0030851364562616,0.0283510880980627,"825-Oak"
0.583271731512342,1.17478313581805,3.23371131333313,0.363292521188959,0.716386379492838,NA,"AANATL2"
11.2683033865158,-3.21088866492806,0.835479824387906,-3.84316720907107,0.000121456657583374,0.00221338777306543,"AANATL3"
2.09197785453112,3.36011985887141,1.87170407909098,1.79521960570995,0.0726187179673045,NA,"AANATL4"
0,NA,NA,NA,NA,NA,"AANATL5"
0.280101497642426,1.54974537601592,4.049495089302,0.382700890318412,0.70194155424531,NA,"AANATL6"
3.9710067807643,2.1765347312559,1.4462069454758,1.50499535219686,0.132325271675644,0.373151107881142,"AANATL7"
6.85143296003116,-0.881112725633904,0.924045210216574,-0.953538545400167,0.340317276057952,0.632515882849576,"ABCB7"
18.4628496729269,-0.465617409859964,0.547761344873724,-0.850036999173981,0.395304516146516,0.679013452559492,"ACC"
1297.42716986612,-0.246405468010422,0.161361591780223,-1.52703915034521,0.126751276411765,0.364036130479736,"ACOX1"
0,NA,NA,NA,NA,NA,"ACXA"
138.610656868341,0.247728253280144,0.25505756162139,0.971264100955669,0.331416780615529,0.623174105521247,"ACXB"
0,NA,NA,NA,NA,NA,"ACXC"
0,NA,NA,NA,NA,NA,"ACXD"
64.930123970231,0.272764115063608,0.299218113328707,0.911589582693351,0.361984808262303,0.651507657631135,"ACXE"
224.832829429401,-0.38642125129266,0.190526578957843,-2.02817503681815,0.0425423867198869,0.182096441169671,"ADD1"
552.298542520257,-0.324096554059509,0.16806492331304,-1.92840092787144,0.0538052765149046,0.214667553832099,"AGBE"
143.200951554811,-0.196569451529337,0.23194217809297,-0.84749334142471,0.396720196907725,0.679807095234502,"AGO1"
0,NA,NA,NA,NA,NA,"AGO2"
0.769079309180123,2.9878431851262,2.6278635319454,1.13698567250724,0.255544275190419,NA,"AGO3"
0,NA,NA,NA,NA,NA,"AIF"
326.603045426819,-0.274148409497965,0.191124197946079,-1.43439926730423,0.151458356629131,0.405632256220836,"AIMP1"
14.3274468541338,0.256254836166912,0.599218820511943,0.427648176918041,0.66890728502768,0.858606663358051,"AIMP2"
459.33881960546,-0.18111155738938,0.162346245807641,-1.11558820771239,0.264598442078799,0.551666025438245,"AIMP3"
1394.84699758927,-0.05082886441818,0.133225160132873,-0.381526014811958,0.702812971332108,0.877610993954764,"ALiX"
0,NA,NA,NA,NA,NA,"AMPKalpha"
38.6382442872355,0.12227373827902,0.417216799949129,0.293070025689111,0.76946862737651,0.909201504255365,"AMPdeam"
719.812884985649,-1.57060804638724,0.158008087671986,-9.94004844642962,2.78691567266712e-23,1.17474554115251e-20,"AOX1"
17.8721435887999,0.387585965000901,0.5605691407868,0.691415093697265,0.489304721447824,0.74588196138941,"AOX2"
0.882566125615643,-2.11131191842027,2.59380408958857,-0.813982801127885,0.415654803821715,NA,"AOX3"
18.3591835869483,-0.19271909888831,0.547161206660822,-0.352216305802129,0.724676049241455,0.886863708330712,"AOX4"
878.695605826985,-0.351131978214223,0.14395000475204,-2.43926340133898,0.0147172365158434,0.088294311894246,"AP-1-2beta"
0.280101497642426,1.54974537601592,4.049495089302,0.382700890318412,0.70194155424531,NA,"AP-1gamma"
635.166760141731,-0.12632793266402,0.158078917081844,-0.799144724647972,0.424206498761108,0.701344134633176,"AP-1mu"
370.95709190536,-0.118371391423999,0.179874205584868,-0.658078744748917,0.510487533140151,0.760475819574948,"AP-1sigma"
515.072195173774,-0.142747079839573,0.162890268521537,-0.876338906769615,0.380845819939869,0.667688609527927,"AP-2alpha"
0,NA,NA,NA,NA,NA,"AP-2mu"
732.894600244596,-0.312752325127304,0.160445187951965,-1.9492783119238,0.0512621971676674,0.207164235740115,"AP-2sigma"
88.4907919586454,-0.0756918089534852,0.261718418505805,-0.289210860227655,0.77242002154751,0.910149942850568,"APC10"
0,NA,NA,NA,NA,NA,"APC4"
0,NA,NA,NA,NA,NA,"APC7"
45.6447931299149,0.772236138727977,0.368664212449842,2.09468701503822,0.036198824277352,0.164818968689933,"APP-BP1"
4.84579074915331,-0.126622379853785,1.03502119086481,-0.122337958846993,0.902631370950225,0.966514270446351,"AQP"
0,NA,NA,NA,NA,NA,"ARY"
6.55931412764626,-0.41033684152804,0.972709413918803,-0.421849357738706,0.673134976312115,0.861069216960807,"ASPP"
132751.711098327,-0.517274675231573,0.198128449004436,-2.6108046463332,0.00903294771635158,0.0622010062392435,"ATP6"
3798.86598091854,-0.539646839177504,0.121699204554276,-4.43426759570011,9.23858184350007e-06,0.00026499423364714,"ATP6AP2"
