"","CSM1","CSM2","CSM3","WRM1","WRM2","WRM3"
"CG14265",0,1.9670723438367,0,1.06944980412989,0,0
"CG14269",0,0,0,0,0,0
"CG14270",629.38323602855,605.858281901704,621.825324766186,670.54502718944,677.272101922213,610.537784673519
"CG14273",0,0,2.52091347878184,1.06944980412989,2.93615073087665,0
"CG14275",0.966794525389478,0,1.68060898585456,0,0,5.60126407957357
"CG14277",0,0,0,0,0,0
"CG1428",316.141809802359,253.752332354935,236.965867005493,189.29261533099,193.785948237859,189.322725889587
"CG14280",17.4023014570106,12.7859702349386,16.8060898585456,17.1111968660782,8.80845219262994,8.96202252731772
"CG14282",515.301482032592,480.949188068074,529.391830544186,439.543869497384,350.380653884613,343.917614485817
"CG14285",168.222247417769,178.020047117222,175.623639021801,250.251254166394,273.062017971528,255.417642028555
"CG14286",90.878685386611,92.452400160325,72.266186391746,88.7643337427807,71.4463344513318,86.259466825433
"CG14292",3364.44494835538,3375.49614202378,3005.76917120088,6743.95046484308,4455.11937565017,6807.77636231372
"CG14294",289.071563091454,243.916970635751,277.300482666002,231.001157692056,187.913646776105,213.96828783971
"CG14297",1860.11266684936,1976.90770555589,2113.36579971211,2092.91326668219,1740.15866649956,1889.86650044812
"CG14298",0.966794525389478,0,1.68060898585456,1.06944980412989,1.95743382058443,4.48101126365886
"CG14300",1.93358905077896,0,0,2.13889960825978,2.93615073087665,1.12025281591471
"CG14301",521.102249184929,684.541175655172,546.197920402731,481.25241185845,987.525362484846,673.271942364743
"CG14302",1.93358905077896,9.83536171918351,11.7642629009819,3.20834941238967,4.89358455146108,13.4430337909766
"CG14304",0,0,0,0,0,0
"CG14309",0,0,1.68060898585456,1.06944980412989,0,1.12025281591471
"CG14312",51.2401098456423,65.8969235185295,57.9810100119822,44.9168917734553,53.8294300660719,31.367078845612
"CG14313",0.966794525389478,1.9670723438367,4.20152246463639,0,4.89358455146108,3.36075844774414
"CG14314",265.868494482106,227.196855713139,287.384136581129,250.251254166394,267.189716509775,255.417642028555
"CG14315",0,0,0,0,0,0
"CG14316",888.48416883293,881.248410038842,845.346319884843,632.044834240764,533.400716109258,533.240340375404
"CG14321",73.4763839296003,83.6005746130598,64.7034459554005,88.7643337427807,85.1483711954228,79.5379499299447
"CG14322",11.6015343046737,9.83536171918351,7.56274043634551,18.1806466702081,7.82973528233773,25.7658147660384
"CG14323",2.90038357616843,3.9341446876734,0.840304492927279,1.06944980412989,0,4.48101126365886
"CG14324",0,7.86828937534681,1.68060898585456,2.13889960825978,6.85101837204551,0
"CG14325",1.93358905077896,1.9670723438367,0.840304492927279,1.06944980412989,0,0
"CG14326",2.90038357616843,4.91768085959175,12.6045673939092,1.06944980412989,5.8723014617533,4.48101126365886
"CG14327",0,0,0,0,0,0
"CG14329",47.3729317440844,49.1768085959175,44.5361381251458,35.2918435362863,70.4676175410395,39.208848557015
"CG14330",30.9374248124633,36.390838360979,30.250961745382,10.6944980412989,6.85101837204551,15.683539422806
"CG14331",28.0370412362949,17.7036510945303,14.2851763797637,18.1806466702081,14.6807536543832,12.3227809750619
"CG14332",0.966794525389478,1.9670723438367,0.840304492927279,3.20834941238967,3.91486764116886,2.24050563182943
"CG14339",269.735672583664,216.377957822037,254.612261356965,188.22316552686,133.105499799741,118.74679848696
"CG14340",14.5019178808422,20.6542596102854,16.8060898585456,12.8333976495587,16.6381874749677,20.1645506864649
"CG14341",135.351233554527,124.909093833631,106.718670601764,101.597731392339,119.40346305565,151.234130148486
"CG14342",3.86717810155791,17.7036510945303,10.0836539151273,6.41669882477933,22.510488936721,10.0822753432324
"CG14346",0,0,0,0,0,0
"CG14352",39.6385755409686,55.0780256274276,62.1825324766186,50.2641407941048,67.5314668101629,41.4493541888444
"CG14354",242.665425872759,271.455983449465,264.695915272093,201.056563176419,152.679838005586,187.082220257757
"CG14355",3828.50632054233,4070.85621557005,4909.05884768116,4055.35365726054,3215.08505030993,3555.6824377133
"CG14356",29.9706302870738,29.5060851575505,28.5703527595275,33.1529439280265,44.0422609631497,28.0063203978679
"CG14357",3.86717810155791,0.983536171918351,3.36121797170912,1.06944980412989,0.978716910292216,0
"CG14362",271.669261634443,294.077315403587,295.787181510402,221.376109454887,146.807536543832,206.126518128307
"CG14367",29.9706302870738,35.4073021890606,35.2927887029457,33.1529439280265,53.8294300660719,51.5316295320769
"CG14369",0,0,0,0,1.95743382058443,1.12025281591471
"CG14370",153.720329536927,187.855408836405,175.623639021801,167.903619248393,137.02036744091,173.639186466781
"CG14374",0,0,0,0,0,0
"CG14377",0,0,0,0,0,0
"CG14380",268.768878058275,240.966362119996,251.251043385256,180.737016897951,149.743687274709,153.474635780316
"CG14383",463.09457766156,386.529715563912,393.262502689966,387.14082909502,290.678922356788,295.746743401485
"CG14384",1.93358905077896,1.9670723438367,3.36121797170912,4.27779921651955,0,0
"CG14391",695.125263755035,667.82106073256,687.369075214514,542.211050693854,438.465175810913,496.271997450218
"CG14395",0,0,0.840304492927279,0,0,0
"CG14397",237.831453245812,285.225489856322,255.452565849893,187.15371572273,312.210694383217,247.575872317152
"CG1440",94.7458634881689,83.6005746130598,87.391667264437,74.8614862890922,81.2335035542539,58.2531464275651
"CG14400",4.83397262694739,5.9012170315101,5.88213145049095,6.41669882477933,9.78716910292216,4.48101126365886
"CG14401",2.90038357616843,0,1.68060898585456,0,1.95743382058443,0
"CG14402",9.66794525389478,2.95060851575505,5.04182695756367,8.55559843303911,6.85101837204551,5.60126407957357
"CG14406",74.4431784549898,103.271298051427,102.517148137128,54.5419400106243,183.998779134937,52.6518823479916
"CG14408",29.9706302870738,32.4566936733056,26.8897437736729,50.2641407941048,27.404073488182,33.6075844774414
"CG1441",0,0,0,0,0,0
"CG14410",5.80076715233687,0.983536171918351,9.24334942220007,5.34724902064944,6.85101837204551,6.72151689548829
"CG14411",0,0,0,0,0,0
"CG14414",0,0,0,0,0,0
"CG14416",0.966794525389478,1.9670723438367,2.52091347878184,0,0.978716910292216,0
"CG14417",8.7011507285053,17.7036510945303,2.52091347878184,7.48614862890922,10.7658860132144,3.36075844774414
"CG14418",0,0,0,0,0,0
"CG14419",28.0370412362949,23.6048681260404,30.250961745382,24.5973454949874,19.5743382058443,40.3291013729297
"CG14420",7.73435620311583,0,0,0,2.93615073087665,3.36075844774414
"CG14421",0,0,0,0,0,0
"CG14422",0,0,0,0,0,5.60126407957357
"CG14423",0,0,0,0,0,0
"CG14424",0,0,0,0,1.95743382058443,0
"CG14427",0,0,0,0,0,0
"CG14431",14.5019178808422,6.88475320342846,5.88213145049095,9.625048237169,2.93615073087665,7.841769711403
"CG14434",0.966794525389478,8.85182554726516,2.52091347878184,0,4.89358455146108,6.72151689548829
"CG14435",129.55046640219,107.2054427391,142.851763797637,155.070221598834,136.041650530618,147.873371700742
"CG14439",0,0,0,0,0,0
"CG14440",87.9783018104425,77.6993575815497,77.3080133493096,88.7643337427807,112.552444683605,104.183511880068
"CG14441",165.321863841601,138.678600240487,177.304248007656,197.848213764029,181.06262840406,198.284748416904
"CG14442",5.80076715233687,3.9341446876734,5.04182695756367,3.20834941238967,3.91486764116886,1.12025281591471
"CG14443",22.236274083958,16.720114922612,11.7642629009819,11.7639478454288,11.7446029235066,19.0442978705501
"CG14445",0,0,4.20152246463639,6.41669882477933,3.91486764116886,6.72151689548829
"CG14448",821.775346581057,1036.64712520194,1015.08782745615,732.573115828974,615.612936573804,676.632700812488
"CG14450",0,0,0,0,0,0
"CG14451",25.1366576601264,18.6871872664487,28.5703527595275,17.1111968660782,15.6594705646755,22.4050563182943
"CG14452",28.0370412362949,20.6542596102854,19.3270033373274,17.1111968660782,22.510488936721,21.2848035023796
"CG14453",0.966794525389478,0,0,4.27779921651955,0.978716910292216,0
"CG14454",0,0,0.840304492927279,0,0,0
"CG14455",6.76756167772635,1.9670723438367,3.36121797170912,2.13889960825978,4.89358455146108,5.60126407957357
"CG14456",4.83397262694739,1.9670723438367,3.36121797170912,4.27779921651955,0.978716910292216,6.72151689548829
"CG14459",0,0,0,2.13889960825978,0.978716910292216,1.12025281591471
"CG14464",2.90038357616843,5.9012170315101,0.840304492927279,7.48614862890922,2.93615073087665,1.12025281591471
"CG14478",7.73435620311583,16.720114922612,10.9239584080546,7.48614862890922,9.78716910292216,14.5632866068913
"CG14480",0,0,0,0,0,0
"CG14483",16.4355069316211,18.6871872664487,10.9239584080546,9.625048237169,6.85101837204551,10.0822753432324
"CG14488",831.443291834951,913.705103712148,928.536464684643,679.100625622479,589.187579995914,722.563066264991
"CG14490",5.80076715233687,8.85182554726516,10.9239584080546,5.34724902064944,5.8723014617533,11.2025281591471
"CG14491",0,0,0.840304492927279,0,1.95743382058443,0
"CG14492",0,0,0,0,0,0
"CG14495",0,0,0,0,0,0
"CG14499",0,0,0,0,0,4.48101126365886
"CG14500",3.86717810155791,1.9670723438367,3.36121797170912,2.13889960825978,0,6.72151689548829
"CG14502",18.3690959824001,3.9341446876734,7.56274043634551,10.6944980412989,15.6594705646755,12.3227809750619
"CG14505",0,0,0,0,0,0
"CG14506",48.3397262694739,19.670723438367,33.6121797170912,14.9722972578184,7.82973528233773,12.3227809750619
