"","CSM1","CSM2","CSM3","WRM1","WRM2","WRM3"
"CG14000",328.710138632423,345.221196343341,317.635098326511,209.612161609458,148.764970364417,192.683484337331
"CG14005",0,0,0,0,0,0
"CG14006",18.3690959824001,12.7859702349386,8.40304492927279,20.3195462784679,10.7658860132144,24.6455619501237
"CG14007",5.80076715233687,5.9012170315101,4.20152246463639,6.41669882477933,4.89358455146108,11.2025281591471
"CG14011",0,0,0,0,0,0
"CG14013",435.057536425265,387.51325173583,450.403208209021,422.432672631306,283.827903984743,415.613794704359
"CG14014",13.5351233554527,4.91768085959175,15.125480872691,11.7639478454288,5.8723014617533,4.48101126365886
"CG14015",189.491726976338,138.678600240487,211.756732217674,188.22316552686,212.381569533411,169.158175203122
"CG14017",429.256769272928,419.969945409136,444.52107675853,253.459603578784,228.041040098086,252.056883580811
"CG14020",0,0,0,0,0,0
"CG14022",0,0,0,0,0,0
"CG14024",40.6053700663581,44.2591277363258,68.0646639271096,63.0975384436634,67.5314668101629,48.1708710843327
"CG14034",0,0,0,0,0,0
"CG14036",93.7790689627794,109.172515082937,97.4753211795643,54.5419400106243,45.0209778734419,79.5379499299447
"CG14042",0,0,0,0,0,0
"CG14043",1166.9209921451,1142.86903176912,1131.04984748012,1009.56061509861,915.100311123222,868.195932333904
"CG14050",10.6347397792843,11.8024340630202,10.9239584080546,17.1111968660782,6.85101837204551,7.841769711403
"CG14052",12.5683288300632,10.8188978911019,7.56274043634551,9.625048237169,8.80845219262994,5.60126407957357
"CG14053",28.0370412362949,43.2755915644074,45.3764426180731,43.8474419693254,27.404073488182,30.2468260296973
"CG14054",51.2401098456423,44.2591277363258,71.4258818988187,22.4584458867277,21.5317720264288,13.4430337909766
"CG14062",0.966794525389478,8.85182554726516,2.52091347878184,0,0,0
"CG14069",0.966794525389478,5.9012170315101,9.24334942220007,5.34724902064944,3.91486764116886,5.60126407957357
"CG1407",0,0,0,0,0,0
"CG14070",0.966794525389478,0.983536171918351,2.52091347878184,1.06944980412989,0,1.12025281591471
"CG14071",84.1111237088846,55.0780256274276,51.258574068564,59.8891890312738,50.8932793351952,63.8544105071387
"CG14072",0,0,0,0,0,0
"CG14073",0,0.983536171918351,0,0,0,2.24050563182943
"CG14074",53.1736988964213,48.1932724239992,42.8555291392912,57.750289423014,49.914562424903,58.2531464275651
"CG14075",102.480219691285,79.6664299253864,68.0646639271096,77.000385897352,68.5101837204551,69.4556745867123
"CG14079",35.7713974394107,46.2262000801625,21.8479168161093,27.8056949073771,16.6381874749677,31.367078845612
"CG14082",41.5721645917476,31.4731575013872,32.7718752241639,43.8474419693254,55.7868638866563,52.6518823479916
"CG14085",5.80076715233687,4.91768085959175,10.9239584080546,11.7639478454288,9.78716910292216,12.3227809750619
"CG14086",3.86717810155791,15.7365787506936,11.7642629009819,25.6667952991173,14.6807536543832,12.3227809750619
"CG14088",0.966794525389478,0,0,0,0,0
"CG14089",0.966794525389478,0.983536171918351,0,0,0,2.24050563182943
"CG1409",210.761206534906,189.822481180242,172.262421050092,118.708928258418,125.275764517404,98.5822478004949
"CG14095",2716.69261634443,5119.30577483502,7265.27264584925,8660.40451384384,8526.58172246579,9876.14882510412
"CG14096",6.76756167772635,15.7365787506936,18.4866988444001,86.625434134521,45.0209778734419,84.0189611936036
"CG14100",158.554302163874,165.234076882283,149.574199741056,210.681611413588,224.126172456917,172.518933650866
"CG14102",52.2069043710318,40.3249830486524,36.133093195873,49.1946909899749,59.7017315278252,48.1708710843327
"CG14104",15.4687124062317,25.5719404698771,20.1673078302547,10.6944980412989,22.510488936721,28.0063203978679
"CG14105",15.4687124062317,39.341446876734,19.3270033373274,53.4724902064944,36.212525680812,48.1708710843327
"CG14106",240.73183682198,300.962068607015,231.924040047929,361.474033795902,277.955602522989,318.151799719779
"CG14107",40.6053700663581,55.0780256274276,38.6540066746548,52.4030404023645,24.4679227573054,39.208848557015
"CG14109",0,4.91768085959175,3.36121797170912,4.27779921651955,0.978716910292216,1.12025281591471
"CG14110",2.90038357616843,5.9012170315101,5.88213145049095,7.48614862890922,7.82973528233773,3.36075844774414
"CG14111",10.6347397792843,16.720114922612,13.4448718868365,7.48614862890922,2.93615073087665,3.36075844774414
"CG14113",400.252933511244,387.51325173583,353.768191522384,317.626591826577,260.338698137729,305.829018744717
"CG14115",0,0,0,0,0,0
"CG14118",1463.72691143967,1224.50253403835,1342.80657969779,937.907478221912,1037.43992490975,828.987083776889
"CG14120",20.302685033179,0.983536171918351,6.72243594341823,10.6944980412989,25.4466396675976,31.367078845612
"CG14125",0,0,0,0,0,0
"CG14130",274.569645210612,293.093779231669,221.000081639874,269.501350640732,260.338698137729,245.335366685322
"CG14131",0,0,0,0,0,0
"CG14132",563.641208302066,700.277754405866,652.076286511568,397.835327136319,878.88778544241,551.16438543004
"CG14135",0,0,0,0,0,0
"CG14137",1.93358905077896,0,1.68060898585456,0,0.978716910292216,1.12025281591471
"CG14142",0,0,0,0,0,0
"CG14143",2.90038357616843,6.88475320342846,0.840304492927279,0,0,0
"CG14147",11070.7641102349,12130.9351444409,11059.2474314159,1438.4099865547,9572.83009956816,2759.18268559794
"CG14151",247.499398499706,220.312102509711,209.235818738892,209.612161609458,172.25417621143,211.727782207881
"CG14153",156.620713113095,132.777383208977,137.809936840074,373.237981641331,213.360286443703,509.715031241195
"CG14154",0,0,0,0,0,0
"CG1416",0,0,0,3.20834941238967,4.89358455146108,0
"CG14160",31.9042193378528,16.720114922612,10.0836539151273,13.9028474536886,20.5530551161365,14.5632866068913
"CG14174",202.060055806401,175.069438601466,192.429728880347,196.7787639599,196.722098968735,173.639186466781
"CG1418",1352.54554101988,1259.90983622741,1218.44151474455,1361.40960065735,1242.97047607111,1226.67683342661
"CG14182",0,0,0,0,0,1.12025281591471
"CG14183",1713.15989899016,1642.50540710365,2094.03879637478,2189.16374905388,1649.13799384238,1839.45512373196
"CG14185",3.86717810155791,1.9670723438367,0,2.13889960825978,7.82973528233773,3.36075844774414
"CG14186",247.499398499706,162.283468366528,282.342309623566,244.904005145744,236.849492290716,287.904973690082
"CG14187",0,0,0,0,0,0
"CG14190",148.88635690998,133.760919380896,135.289023361292,148.653522774055,131.148065979157,138.911349173425
"CG14191",1115.68088229946,1668.07734757352,1248.69247648994,591.405741683828,917.057744943806,965.657927318484
"CG14194",0.966794525389478,0.983536171918351,3.36121797170912,0,0,0
"CG14195",0,0.983536171918351,0.840304492927279,0,0.978716910292216,1.12025281591471
"CG14196",93.7790689627794,66.8804596904479,43.6958336322185,130.472876103846,92.9781064777605,112.025281591471
"CG14200",3.86717810155791,5.9012170315101,6.72243594341823,9.625048237169,8.80845219262994,2.24050563182943
"CG14204",0,0,0,1.06944980412989,0,0
"CG14205",5.80076715233687,3.9341446876734,0,2.13889960825978,1.95743382058443,1.12025281591471
"CG14207",31.9042193378528,22.6213319541221,18.4866988444001,31.0140443197668,49.914562424903,44.8101126365886
"CG1421",116.982137572127,158.349323678854,139.490545825928,58.8197392271439,64.5953160792862,56.0126407957357
"CG14210",0,0,0,0,0,0
"CG14212",127.616877351411,99.3371533637534,133.608414375437,77.000385897352,69.4889006307473,71.6961802185417
"CG14218",0,0,0,0,0,0
"CG14219",21.2694795585685,5.9012170315101,4.20152246463639,6.41669882477933,0.978716910292216,10.0822753432324
"CG14220",21.2694795585685,10.8188978911019,17.6463943514729,18.1806466702081,18.5956212955521,16.8037922387207
"CG14221",2.90038357616843,1.9670723438367,0,1.06944980412989,0,0
"CG14223",24.169863134737,29.5060851575505,31.0912662383093,11.7639478454288,36.212525680812,23.525309134209
"CG14227",1.93358905077896,1.9670723438367,1.68060898585456,2.13889960825978,2.93615073087665,0
"CG14229",17.4023014570106,15.7365787506936,15.125480872691,12.8333976495587,18.5956212955521,11.2025281591471
"CG14230",88.945096335832,71.7981405500396,88.2319717573643,133.681225516236,103.743992490975,90.7404780890919
"CG14232",0,0,0,0,0,0
"CG14234",0,0,0,0,0,0
"CG14237",0,1.9670723438367,0,2.13889960825978,0,0
"CG14238",9.66794525389478,0.983536171918351,2.52091347878184,11.7639478454288,7.82973528233773,14.5632866068913
"CG14244",56.0740824725897,81.6335022692231,31.0912662383093,10.6944980412989,16.6381874749677,16.8037922387207
"CG14245",1.93358905077896,1.9670723438367,0,0,0,0
"CG14246",24.169863134737,21.6377957822037,21.007612323182,37.4307431445461,36.212525680812,62.734157691224
"CG14247",0,2.95060851575505,3.36121797170912,2.13889960825978,3.91486764116886,5.60126407957357
"CG14252",197.226083179454,223.262711025466,202.513382795474,279.126398877901,211.402852623119,243.094861053493
"CG14253",0,0,0,0,0,0
"CG14257",125.683288300632,77.6993575815497,90.7528852361461,60.9586388354037,216.29643717458,44.8101126365886
"CG14258",32.8710138632423,36.390838360979,48.7376605897822,50.2641407941048,62.6378822587018,60.4936520593946
"CG14259",874.949045477478,1312.03725333908,1101.63919022766,1326.11775712106,1878.15775085076,1503.37927895755
"CG14260",0,0,0,0,0,0
"CG14262",302.606686446907,276.373664309057,366.372758916294,316.557142022447,233.91334155984,268.860675819531
