"","CSF1","CSF2","CSF3","WTF1","WTF2","WTF3","CSM1","CSM2","CSM3","WTM1","WTM2","WTM3"
"spdi",13.961036796084,5.5438213184218,11.3403083357191,6.68480547608183,20.5136569790749,9.05864138481271,5.80076715233687,14.7530425787753,12.6045673939092,14.9722972578184,12.7233198337988,5.60126407957357
"spdo",3.98886765602399,4.61985109868483,1.030937121429,1.90994442173767,4.10273139581499,0,11.6015343046737,0,5.04182695756367,3.20834941238967,1.95743382058443,3.36075844774414
"speck",268.251349867613,708.685158538253,194.847115950082,416.367883938811,487.19935325303,214.387846107234,234.931069669643,222.279174853547,249.570434399402,201.056563176419,247.615378303931,234.132838526175
"spel1",0,0,0,0,0,0,0,0,0,0,0,0
"spen",18.9471213661139,18.4794043947393,15.4640568214351,12.4146387412948,15.3852427343062,5.03257854711817,25.1366576601264,14.7530425787753,33.6121797170912,23.5278956908575,21.5317720264288,14.5632866068913
"spg",0,0,0,0,0,0,0,0,0,0,0,0
"sphe",167.532441553007,205.121388781607,165.98087655007,247.337802615028,194.879741301212,91.5929295575507,59.9412605741476,57.0450979712643,11.7642629009819,42.7779921651955,107.658860132144,24.6455619501237
"sphinx1",0,0,0,0.954972210868833,0,0,7.73435620311583,8.85182554726516,16.8060898585456,32.0834941238967,27.404073488182,25.7658147660384
"sphinx2",0,0,0,0,0,0,0.966794525389478,0,4.20152246463639,6.41669882477933,11.7446029235066,12.3227809750619
"spi",0,0.923970219736966,0,0,0,0,0,0,0.840304492927279,0,0,1.12025281591471
"spict",0,0,0,0,0,0,0,0,0,0,0,0
"spidey",1395.10646269439,1566.12952245416,1471.14727227919,1609.12817531398,1472.88057109758,1468.50642004908,1284.86992424262,1099.59344020472,1100.79888573474,1593.48020815353,1788.11579510388,1643.41088094689
"spin",0,0,0,0,0,0,0,0,0,0,0,0
"spir",24.9304228501499,36.0348385697417,30.9281136428701,45.838666121704,33.8475340154736,14.0912199319309,29.9706302870738,21.6377957822037,33.6121797170912,31.0140443197668,33.2763749499353,30.2468260296973
"spirit",0,0,3.09281136428701,0,0,0,0,0,0.840304492927279,2.13889960825978,0,0
"spn-A",0,0,0,0,0,0,0,0,0,0,0,0
"spn-B",29.9165074201799,36.9588087894787,17.5259310642931,23.8743052717208,36.9245825623349,30.195471282709,29.0038357616843,32.4566936733056,36.9733976888003,32.0834941238967,24.4679227573054,29.1265732137826
"spn-D",2.99165074201799,4.61985109868483,6.18562272857403,5.729833265213,0,2.01303141884727,0,1.9670723438367,2.52091347878184,2.13889960825978,1.95743382058443,0
"spn-E",113.682728196684,147.835235157915,121.650580328623,109.821804249916,95.3885049526984,92.5994452669743,126.650082826022,84.5841107849782,97.4753211795643,111.222779629508,113.531161593897,103.063259064154
"spn-F",0,0,0,0,0,0,0,0,0,0,0,0
"spo",0,0,0,0,0,0,0,0,0,0,0,0
"spok",22.9359890221379,7.39176175789573,11.3403083357191,3.81988884347533,3.07704854686124,3.0195471282709,22.236274083958,6.88475320342846,7.56274043634551,3.20834941238967,4.89358455146108,7.841769711403
"spoon",536.502699735226,473.996722725064,472.169201614484,606.407353901709,584.639223903636,524.394684609713,410.887673290528,413.085192205707,404.186461098021,437.404969889124,393.444197937471,439.139103838568
"spri",0.997216914005997,1.84794043947393,1.030937121429,4.77486105434416,3.07704854686124,4.02606283769454,3.86717810155791,0.983536171918351,0,0,1.95743382058443,1.12025281591471
"sprt",209.415551941259,165.390669332917,191.754304585795,140.380914997718,168.211987228414,167.081607764323,391.551782782739,166.217613054201,157.977244670328,152.931321990574,193.785948237859,178.12019773044
"spt4",125.649331164756,109.028485928962,88.6605924428944,147.0657204738,132.313087515033,167.081607764323,134.384439029137,178.020047117222,131.927805389583,159.348020815353,169.318025480553,145.632866068913
"spz",0,0.923970219736966,1.030937121429,0,0,1.00651570942363,0,0,1.68060898585456,0,0,0
"spz3",298.167857287793,547.914340304021,260.827091721538,317.050774008452,310.781903232985,331.143668400376,385.751015630402,556.681473305787,481.494474447331,233.140057300316,465.869249299095,245.335366685322
