2891	31 May 26	17:35:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	24	0
2892	31 May 26	17:40:00	1	0	1	0	Ct	0	1	24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	5	0	0	2	0	0	0	0	0	0	0	0	0	0
2893	31 May 26	17:45:00	1	0	1	0	Ct	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0
2894	31 May 26	17:50:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
2895	31 May 26	17:55:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
2896	31 May 26	18:00:00	1	0	1	0	Ct	0	1	0	0	0	0	15	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	6	0	5	0	0	0	0
2897	31 May 26	18:05:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	28	0	0	0	0	0	44	5	0	2	0	0	0
2898	31 May 26	18:10:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	3	1	0	0	0	2	0	0	0	0	0	0
2899	31 May 26	18:15:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
2900	31 May 26	18:20:00	1	0	1	0	Ct	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2901	31 May 26	18:25:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2902	31 May 26	18:30:00	1	0	1	0	Ct	0	1	2	0	3	0	0	0	0	0	0	0	5	0	13	1	0	0	1	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0
2903	31 May 26	18:35:00	1	0	1	0	Ct	0	1	11	0	0	0	0	0	1	0	0	0	7	0	5	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0
2904	31 May 26	18:40:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	1	0	8	3	0	0	0	0	0	0	0	2	1	0	0	0	0	11	2	0	0	0
2905	31 May 26	18:45:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	3	0	11	4	0	0	0	0	3	0	0	3	12	0	0	0	0	16	0	0	0	0
2906	31 May 26	18:50:00	1	0	1	0	Ct	0	1	0	0	8	0	0	0	0	0	0	0	6	0	9	6	0	0	0	0	4	0	0	5	9	0	0	0	0	0	0	0	0	0
2907	31 May 26	18:55:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	4	0	0	11	0	0	0	15	0	0	0	0	0	0	0	0	0
2908	31 May 26	19:00:00	1	0	1	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	16	0	0	26	0
2909	31 May 26	19:05:00	1	0	1	0	Ct	0	1	0	0	0	0	12	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	6	11	0	0	0	0	3	0	0	2	0
2910	31 May 26	19:10:00	1	0	1	0	Ct	0	1	0	0	2	0	10	0	0	0	0	0	1	0	1	6	0	0	0	0	5	0	0	7	7	0	0	0	0	1	0	0	3	0
