"x","y","fill","PANEL","group","shape","colour","size","alpha","stroke"
2.03576122475788,208.710484543948,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.0101754910592,129.616536687394,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.93522519237828,78.7702123264277,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.96143019512296,88.192743439643,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.00996642179321,73.0227362950873,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.9145236070687,236.407263130935,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.99392149989493,217.001739827757,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.06498192331754,65.5302972013019,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.95545021217782,145.24732660457,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.01454514071345,108.997003683555,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.91106798622757,143.384710758119,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.03453586917836,136.670853071265,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.95160250845365,122.348084075707,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.06273584320676,186.444982840547,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.93769034333527,94.5797600917423,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.97422567666508,97.4507450570073,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
2.00813681074884,98.2598620612972,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.91021557047963,102.31551786965,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.96720840818249,127.465933033799,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.91311208367813,104.83361314923,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.97148044466507,55.0646008219639,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.97181898399256,380.998979354844,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.95186128479429,138.477974758977,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.92104638898745,140.986874763735,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
1.98422772531863,144.266746792599,"#CB78A8","1",2,16,"black",0.7,0.75,0.318181818181818
0.94339219189249,59.0625565408755,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
0.98392097146716,78.3059360526295,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
0.93521455402486,47.2218657751597,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
0.91097821302712,50.4043560112926,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
1.01831298681907,166.588845629815,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
1.07398182291072,142.606576487939,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
0.941565301110968,155.809863502288,"#5AB4E5","1",1,16,"black",0.7,0.75,0.318181818181818
