file,relative_path,session,condition,series,settings_group,tmrm_gain,tmrm_offset,mtg_gain,mtg_offset,tmrm_threshold,mtg_threshold,mask_pixels,mask_fraction,tmrm_mean_in_mask,mtg_mean_in_mask,tmrm_integrated_raw,mtg_integrated_raw,tmrm_background_median,mtg_background_median,tmrm_integrated_bg_corrected,mtg_integrated_bg_corrected,tmrm_mtg_ratio_raw,tmrm_mtg_ratio_bg_corrected,tmrm_mtg_highpass_correlation,tmrm_mtg_mask_dice,mtg_enrichment_in_tmrm_mask,estimated_shift_x_px,estimated_shift_y_px,estimated_shift_magnitude_px,tmrm_saturated_fraction,mtg_saturated_fraction,qc_auto_flags,qc_include,settings_has_WR_and_CS,group_WR_mean_ratio,normalized_to_group_WR_mean,primary_analysis_include,primary_exclusion_reason
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series009.tif,724_-43 1004_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series009.tif,7.13.26 WR,WR,Series009,724_-43 1004_-99,724,-43,1004,-99,128,76,390446,0.3723583221435547,176.69495397570984,92.89134989217459,68989838.0,36269056.0,83.0,40.0,36582820.0,20702687.0,1.9021680079018324,1.7670566144385027,0.896471381187439,0.7438499666905029,2.296677535885361,-4,0,4.0,0.0025739669799804688,6.67572021484375e-06,,Yes,No,1.9021680079018324,1.0,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series088.tif,724_-43 1102_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series088.tif,7.10.26 WR,WR,Series088,724_-43 1102_-99,724,-43,1102,-99,81,44,12846,0.012250900268554688,163.0736416004982,95.12719912813327,2094844.0,1222004.0,0.0,0.0,2094844.0,1222004.0,1.714269347727176,1.714269347727176,0.9219636917114258,0.6847802884761992,22.33500985608082,0,0,0.0,0.0007457733154296875,1.811981201171875e-05,,Yes,No,1.714269347727176,1.0,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series090.tif,724_-43 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series090.tif,7.10.26 WR,WR,Series090,724_-43 1110_-99,724,-43,1110,-99,49,23,14157,0.013501167297363281,107.87101787101787,57.683054319417955,1527130.0,816619.0,0.0,0.0,1527130.0,816619.0,1.8700642527298532,1.8700642527298532,0.9016432762145996,0.46138814503872044,16.678955810948466,0,0,0.0,5.626678466796875e-05,3.814697265625e-06,,Yes,No,1.7223469937024762,1.0857650981872322,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series092.tif,724_-43 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series092.tif,7.10.26 WR,WR,Series092,724_-43 1110_-99,724,-43,1110,-99,51,28,38678,0.03688621520996094,103.87279590464864,61.12495475464088,4017592.0,2364191.0,0.0,0.0,4017592.0,2364191.0,1.6993517021255897,1.6993517021255897,0.8953882455825806,0.5235873834743271,8.888696354149902,0,0,0.0,0.00051116943359375,8.58306884765625e-05,,Yes,No,1.7223469937024762,0.9866488624760483,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series094.tif,724_-43 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series094.tif,7.10.26 WR,WR,Series094,724_-43 1110_-99,724,-43,1110,-99,44,29,45165,0.04307270050048828,88.1085796523857,65.6724454776929,3979424.0,2966096.0,0.0,1.0,3979424.0,2921018.0,1.341636953085807,1.3623414850576065,0.862232506275177,0.4985836740726144,8.03643618527742,0,0,0.0,9.250640869140625e-05,4.76837158203125e-06,,Yes,No,1.7223469937024762,0.7789585710610679,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series096.tif,724_-43 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series096.tif,7.10.26 WR,WR,Series096,724_-43 1110_-99,724,-43,1110,-99,68,33,59403,0.05665111541748047,134.255593151861,67.86291938117604,7975185.0,4031261.0,0.0,2.0,7975185.0,3912757.0,1.9783350668686548,2.0382520560310797,0.9258999228477478,0.5956360898121642,7.934432067213678,0,0,0.0,0.002231597900390625,6.29425048828125e-05,,Yes,No,1.7223469937024762,1.1486274682756514,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series084.tif,724_-43 1209_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series084.tif,7.10.26 WR,WR,Series084,724_-43 1209_-99,724,-43,1209,-99,60,51,35931,0.03426647186279297,127.32921432746096,121.30914808939356,4575066.0,4358759.0,0.0,8.0,4575066.0,4071373.0,1.0496258223957782,1.1237157587870235,0.8928350210189819,0.4852157324805027,8.248292186490488,0,0,0.0,0.00051116943359375,0.0001087188720703125,,Yes,No,0.8909982811363722,1.1780334986248162,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series086.tif,724_-43 1209_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series086.tif,7.10.26 WR,WR,Series086,724_-43 1209_-99,724,-43,1209,-99,73,63,23433,0.022347450256347656,146.53518542226774,152.70336704647292,3433759.0,3578298.0,0.0,11.0,3433759.0,3320546.0,0.9596067739467199,1.0340946940653737,0.8762202262878418,0.5117517914656028,8.693169930348835,0,0,0.0,0.0005741119384765625,0.0004787445068359375,,Yes,No,0.8909982811363722,1.0770018239797778,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series001.tif,724_-43 1209_-99/TMRM MTG CS WR ZZ.lif - 7.13.26 WR_Series001.tif,7.13.26 WR,WR,Series001,724_-43 1209_-99,724,-43,1209,-99,76,135,226075,0.21560192108154297,133.76805042574367,201.53006745549044,30241612.0,45560910.0,14.0,119.0,27076562.0,18669017.0,0.6637622470666191,1.4503474928540694,0.8364688158035278,0.5995026687056171,1.7324123605658335,0,0,0.0,0.000690460205078125,0.0059604644775390625,,Yes,No,0.8909982811363722,0.7449646773954064,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series098.tif,757_-40 1110_-99/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series098.tif,7.10.26 WR,WR,Series098,757_-40 1110_-99,757,-40,1110,-99,77,32,94771,0.09038066864013672,149.4620506273016,51.62028468624368,14164668.0,4892106.0,0.0,2.0,14164668.0,4704479.0,2.89541314108893,3.0108898349849156,0.9133503437042236,0.6784571650355079,7.18883525045046,0,0,0.0,0.004075050354003906,1.71661376953125e-05,,Yes,No,2.3970346785340335,1.2079145817196488,No,unmatched acquisition setting
