"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"BP","GO:0030317","flagellated sperm motility","4/333","32/7230",0.125,2.71396396396396,2.13501962202965,0.0575658658105216,0.999999986064185,0.999999986064185,"Mst84Dd/Zmynd10/CG34274/kl-5",4,"male","up"
"BP","GO:0097722","sperm motility","4/333","32/7230",0.125,2.71396396396396,2.13501962202965,0.0575658658105216,0.999999986064185,0.999999986064185,"Mst84Dd/Zmynd10/CG34274/kl-5",4,"male","up"
"BP","GO:0009141","nucleoside triphosphate metabolic process","5/333","47/7230",0.106382978723404,2.30975656507571,1.97932766983,0.0635516044182553,0.999999986064185,0.999999986064185,"fal/ATPsynCF6L/Hex-t1/CG7059/ATPsynG",5,"male","up"
"BP","GO:0006626","protein targeting to mitochondrion","4/333","34/7230",0.117647058823529,2.55431902490726,1.99602124806647,0.0691762177306044,0.999999986064185,0.999999986064185,"Tim13/CG32727/CG1409/Tim17a2",4,"male","up"
"BP","GO:0030150","protein import into mitochondrial matrix","3/333","21/7230",0.142857142857143,3.1016731016731,2.11918278169973,0.0696908293774265,0.999999986064185,0.999999986064185,"CG32727/CG1409/Tim17a2",3,"male","up"
"BP","GO:0048210","Golgi vesicle fusion to target membrane","2/333","10/7230",0.2,4.34234234234234,2.32387866162854,0.0745319716252071,0.999999986064185,0.999999986064185,"RabX2/Rab9Fb",2,"male","up"
"BP","GO:0006163","purine nucleotide metabolic process","10/333","131/7230",0.0763358778625954,1.65738257341311,1.66834691663632,0.0794804691264389,0.999999986064185,0.999999986064185,"CG17999/CG32305/Gpdh2/fal/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",10,"male","up"
"BP","GO:0072521","purine-containing compound metabolic process","11/333","150/7230",0.0733333333333333,1.59219219219219,1.6103593303827,0.0849992273744958,0.999999986064185,0.999999986064185,"CG17999/CG32305/Gpdh2/fal/Adk3/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",11,"male","up"
"BP","GO:0051084","'de novo' post-translational protein folding","3/333","23/7230",0.130434782608696,2.83196239717979,1.93345615586385,0.0868272888390594,0.999999986064185,0.999999986064185,"Hsp70Bb/Hsp70Bbb/Hsp70Bc",3,"male","up"
"BP","GO:0051085","chaperone cofactor-dependent protein refolding","3/333","23/7230",0.130434782608696,2.83196239717979,1.93345615586385,0.0868272888390594,0.999999986064185,0.999999986064185,"Hsp70Bb/Hsp70Bbb/Hsp70Bc",3,"male","up"
"BP","GO:0001678","intracellular glucose homeostasis","2/333","11/7230",0.181818181818182,3.94758394758395,2.14958746303951,0.0884008277019317,0.999999986064185,0.999999986064185,"Hex-t1/Pepck2",2,"male","up"
"BP","GO:0061077","chaperone-mediated protein folding","4/333","37/7230",0.108108108108108,2.34721207694181,1.80514841919403,0.0886567408916537,0.999999986064185,0.999999986064185,"Hsp70Bb/Hsp67Bc/Hsp70Bbb/Hsp70Bc",4,"male","up"
"BP","GO:0006458","'de novo' protein folding","3/333","24/7230",0.125,2.71396396396396,1.84795458873855,0.0959987130729063,0.999999986064185,0.999999986064185,"Hsp70Bb/Hsp70Bbb/Hsp70Bc",3,"male","up"
"BP","GO:0070585","protein localization to mitochondrion","4/333","39/7230",0.102564102564103,2.22684222684223,1.68794188838459,0.102953718045027,0.999999986064185,0.999999986064185,"Tim13/CG32727/CG1409/Tim17a2",4,"male","up"
"BP","GO:0072655","establishment of protein localization to mitochondrion","4/333","39/7230",0.102564102564103,2.22684222684223,1.68794188838459,0.102953718045027,0.999999986064185,0.999999986064185,"Tim13/CG32727/CG1409/Tim17a2",4,"male","up"
"BP","GO:0000076","DNA replication checkpoint signaling","2/333","12/7230",0.166666666666667,3.61861861861862,1.99473657894754,0.102957074927604,0.999999986064185,0.999999986064185,"timeout/mus304",2,"male","up"
"BP","GO:0016126","sterol biosynthetic process","2/333","12/7230",0.166666666666667,3.61861861861862,1.99473657894754,0.102957074927604,0.999999986064185,0.999999986064185,"Pmvk/dib",2,"male","up"
"BP","GO:0009117","nucleotide metabolic process","10/333","141/7230",0.0709219858156028,1.53983771005048,1.42236613266255,0.114893847517438,0.999999986064185,0.999999986064185,"CG17999/CG32305/Gpdh2/fal/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",10,"male","up"
"BP","GO:0046165","alcohol biosynthetic process","3/333","26/7230",0.115384615384615,2.50519750519751,1.68936863929366,0.115447597975391,0.999999986064185,0.999999986064185,"Pmvk/dib/Pepck2",3,"male","up"
"BP","GO:0007288","sperm axoneme assembly","2/333","13/7230",0.153846153846154,3.34026334026334,1.85562053174419,0.118108419995722,0.999999986064185,0.999999986064185,"Mst84Dd/CG34274",2,"male","up"
"BP","GO:0044743","protein transmembrane import into intracellular organelle","3/333","27/7230",0.111111111111111,2.41241241241241,1.61554037549096,0.125683256143839,0.999999986064185,0.999999986064185,"CG32727/CG1409/Tim17a2",3,"male","up"
"BP","GO:0046034","ATP metabolic process","4/333","42/7230",0.0952380952380952,2.06778206778207,1.52487537177944,0.126220811526161,0.999999986064185,0.999999986064185,"ATPsynCF6L/Hex-t1/CG7059/ATPsynG",4,"male","up"
"BP","GO:0009408","response to heat","5/333","58/7230",0.0862068965517241,1.87169928549239,1.46450771026625,0.127386428991723,0.999999986064185,0.999999986064185,"Hsp70Bb/Hsp67Bc/Hsp70Bbb/Hsp70Bc/TotE",5,"male","up"
"BP","GO:0009636","response to toxic substance","5/333","58/7230",0.0862068965517241,1.87169928549239,1.46450771026625,0.127386428991723,0.999999986064185,0.999999986064185,"CG11893/CG12896/Hsp70Bc/Prx1/BomS3",5,"male","up"
"BP","GO:0043094","cellular metabolic compound salvage","2/333","14/7230",0.142857142857143,3.1016731016731,1.72946603627215,0.133769568531676,0.999999986064185,0.999999986064185,"Adk3/l(2)k01209",2,"male","up"
"BP","GO:0120316","sperm flagellum assembly","2/333","14/7230",0.142857142857143,3.1016731016731,1.72946603627215,0.133769568531676,0.999999986064185,0.999999986064185,"Mst84Dd/CG34274",2,"male","up"
"BP","GO:0009150","purine ribonucleotide metabolic process","8/333","110/7230",0.0727272727272727,1.57903357903358,1.34459413244866,0.133836486582113,0.999999986064185,0.999999986064185,"CG17999/CG32305/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",8,"male","up"
"BP","GO:0006839","mitochondrial transport","5/333","59/7230",0.0847457627118644,1.83997556878913,1.42342279103791,0.134272452627646,0.999999986064185,0.999999986064185,"Tim13/CG43321/CG32727/CG1409/Tim17a2",5,"male","up"
"BP","GO:0006753","nucleoside phosphate metabolic process","10/333","146/7230",0.0684931506849315,1.48710354189806,1.30644025956444,0.135460988939268,0.999999986064185,0.999999986064185,"CG17999/CG32305/Gpdh2/fal/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",10,"male","up"
"BP","GO:0009266","response to temperature stimulus","7/333","94/7230",0.074468085106383,1.616829595553,1.32261311635711,0.141580936279204,0.999999986064185,0.999999986064185,"Hsp70Bb/Hsp67Bc/Hsp70Bbb/Hsp70Bc/TotE/tilB/santa-maria",7,"male","up"
"BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","4/333","44/7230",0.0909090909090909,1.97379197379197,1.42357397088401,0.142849732309218,0.999999986064185,0.999999986064185,"ATPsynCF6L/Hex-t1/CG7059/ATPsynG",4,"male","up"
"BP","GO:0006195","purine nucleotide catabolic process","3/333","29/7230",0.103448275862069,2.24603914259087,1.47728876483548,0.147070261974993,0.999999986064185,0.999999986064185,"fal/Hex-t1/CG7059",3,"male","up"
"BP","GO:0009259","ribonucleotide metabolic process","8/333","113/7230",0.0707964601769911,1.53711233357251,1.26440725775006,0.149125817734331,0.999999986064185,0.999999986064185,"CG17999/CG32305/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",8,"male","up"
"BP","GO:0007160","cell-matrix adhesion","2/333","15/7230",0.133333333333333,2.8948948948949,1.61414930583533,0.14986177929601,0.999999986064185,0.999999986064185,"dyl/m",2,"male","up"
"BP","GO:0016125","sterol metabolic process","2/333","15/7230",0.133333333333333,2.8948948948949,1.61414930583533,0.14986177929601,0.999999986064185,0.999999986064185,"Pmvk/dib",2,"male","up"
"BP","GO:0009199","ribonucleoside triphosphate metabolic process","4/333","45/7230",0.0888888888888889,1.92992992992993,1.37490981595149,0.15147244229563,0.999999986064185,0.999999986064185,"ATPsynCF6L/Hex-t1/CG7059/ATPsynG",4,"male","up"
"BP","GO:0007143","female meiotic nuclear division","3/333","30/7230",0.1,2.17117117117117,1.41236149451069,0.158178586188972,0.999999986064185,0.999999986064185,"HP6/sra/mus304",3,"male","up"
"BP","GO:0015986","proton motive force-driven ATP synthesis","2/333","16/7230",0.125,2.71396396396396,1.50801174888368,0.166312444413574,0.999999986064185,0.999999986064185,"ATPsynCF6L/ATPsynG",2,"male","up"
"BP","GO:0097237","cellular response to toxic substance","2/333","16/7230",0.125,2.71396396396396,1.50801174888368,0.166312444413574,0.999999986064185,0.999999986064185,"CG12896/Prx1",2,"male","up"
"BP","GO:1990748","cellular detoxification","2/333","16/7230",0.125,2.71396396396396,1.50801174888368,0.166312444413574,0.999999986064185,0.999999986064185,"CG12896/Prx1",2,"male","up"
"BP","GO:0046434","organophosphate catabolic process","4/333","47/7230",0.0851063829787234,1.84780525206057,1.2812185399763,0.169286762132654,0.999999986064185,0.999999986064185,"Gpdh2/fal/Hex-t1/CG7059",4,"male","up"
"BP","GO:1990542","mitochondrial transmembrane transport","4/333","47/7230",0.0851063829787234,1.84780525206057,1.2812185399763,0.169286762132654,0.999999986064185,0.999999986064185,"CG43321/CG32727/CG1409/Tim17a2",4,"male","up"
"BP","GO:0009166","nucleotide catabolic process","3/333","31/7230",0.0967741935483871,2.10113339145597,1.34994417400144,0.169534864068441,0.999999986064185,0.999999986064185,"fal/Hex-t1/CG7059",3,"male","up"
"BP","GO:0019693","ribose phosphate metabolic process","8/333","118/7230",0.0677966101694915,1.4719804550313,1.13579580534337,0.176386305147246,0.999999986064185,0.999999986064185,"CG17999/CG32305/ATPsynCF6L/Hex-t1/Pmvk/CG7059/ATPsynG/CG14893",8,"male","up"
"BP","GO:0000723","telomere maintenance","2/333","17/7230",0.117647058823529,2.55431902490726,1.40973594550363,0.183054694187783,0.999999986064185,0.999999986064185,"HP6/mus304",2,"male","up"
"BP","GO:0006754","ATP biosynthetic process","2/333","17/7230",0.117647058823529,2.55431902490726,1.40973594550363,0.183054694187783,0.999999986064185,0.999999986064185,"ATPsynCF6L/ATPsynG",2,"male","up"
"BP","GO:1902652","secondary alcohol metabolic process","2/333","17/7230",0.117647058823529,2.55431902490726,1.40973594550363,0.183054694187783,0.999999986064185,0.999999986064185,"Pmvk/dib",2,"male","up"
