experiment,acquisition_date,dose_mM,genotype,well,source_sheet,source_cell,raw_absorbance,blank,corrected_absorbance,matched_control_mean,normalized_pct
1,2026-07-15,0,WT,1,7.15.26 raw,D3,0.6845999956130981,0.12145000323653221,0.5631499923765659,0.5677500007053217,99.18978277005
1,2026-07-15,0,WT,2,7.15.26 raw,D4,0.6780999898910522,0.12145000323653221,0.55664998665452,0.5677500007053217,98.04491166234928
1,2026-07-15,0,WT,3,7.15.26 raw,D5,0.7049000263214111,0.12145000323653221,0.5834500230848789,0.5677500007053217,102.76530556760069
1,2026-07-15,0,CS,1,7.15.26 raw,E3,0.40860000252723694,0.12145000323653221,0.2871499992907047,0.3725166656076908,77.08379941130246
1,2026-07-15,0,CS,2,7.15.26 raw,E4,0.5684000253677368,0.12145000323653221,0.4469500221312046,0.3725166656076908,119.9812151765317
1,2026-07-15,0,CS,3,7.15.26 raw,E5,0.5048999786376953,0.12145000323653221,0.3834499754011631,0.3725166656076908,102.93498541216583
1,2026-07-15,20,WT,1,7.15.26 raw,F3,0.2529999911785126,0.12145000323653221,0.13154998794198036,0.5677500007053217,23.170407358618135
1,2026-07-15,20,WT,2,7.15.26 raw,F4,0.2529999911785126,0.12145000323653221,0.13154998794198036,0.5677500007053217,23.170407358618135
1,2026-07-15,20,WT,3,7.15.26 raw,F5,0.27959999442100525,0.12145000323653221,0.15814999118447304,0.5677500007053217,27.8555686460593
1,2026-07-15,20,CS,1,7.15.26 raw,G3,0.25360000133514404,0.12145000323653221,0.13214999809861183,0.3725166656076908,35.47492241267488
1,2026-07-15,20,CS,2,7.15.26 raw,G4,0.3001999855041504,0.12145000323653221,0.17874998226761818,0.3725166656076908,47.98442560308577
1,2026-07-15,20,CS,3,7.15.26 raw,G5,0.28999999165534973,0.12145000323653221,0.16854998841881752,0.3725166656076908,45.24629472452191
1,2026-07-15,40,WT,1,7.15.26 raw,H3,0.15950000286102295,0.12145000323653221,0.03804999962449074,0.5677500007053217,6.701893364547923
1,2026-07-15,40,WT,2,7.15.26 raw,H4,0.17059999704360962,0.12145000323653221,0.04914999380707741,0.5677500007053217,8.656978202733221
1,2026-07-15,40,WT,3,7.15.26 raw,H5,0.17800000309944153,0.12145000323653221,0.05654999986290932,0.5677500007053217,9.960369844589462
1,2026-07-15,40,CS,1,7.15.26 raw,I3,0.17739999294281006,0.12145000323653221,0.05594998970627785,0.3725166656076908,15.019459495860668
1,2026-07-15,40,CS,2,7.15.26 raw,I4,0.17470000684261322,0.12145000323653221,0.05325000360608101,0.3725166656076908,14.294663439879569
1,2026-07-15,40,CS,3,7.15.26 raw,I5,0.1624000072479248,0.12145000323653221,0.04095000401139259,0.3725166656076908,10.992797850960674
2,2026-07-28,0,WT,1,7.28.26 raw,D29,0.7161999940872192,0.10319999853769939,0.6129999955495199,0.6345999936262767,96.59628139084455
2,2026-07-28,0,WT,2,7.28.26 raw,D30,0.7838000059127808,0.10319999853769939,0.6806000073750814,0.6345999936262767,107.2486628129238
2,2026-07-28,0,WT,3,7.28.26 raw,D31,0.7573999762535095,0.10319999853769939,0.6541999777158102,0.6345999936262767,103.08855724651585
2,2026-07-28,0,WT,4,7.28.26 raw,D32,0.6875,0.10319999853769939,0.5843000014623007,0.6345999936262767,92.07374839754594
2,2026-07-28,0,WT,5,7.28.26 raw,D33,0.7465999722480774,0.10319999853769939,0.643399973710378,0.6345999936262767,101.3866971592319
2,2026-07-28,0,WT,6,7.28.26 raw,D34,0.7353000044822693,0.10319999853769939,0.6321000059445699,0.6345999936262767,99.60605299293793
2,2026-07-28,0,CS,1,7.28.26 raw,E29,0.6486999988555908,0.10319999853769939,0.5455000003178915,0.5807666679223379,93.9275668607823
2,2026-07-28,0,CS,2,7.28.26 raw,E30,0.6729999780654907,0.10319999853769939,0.5697999795277914,0.5807666679223379,98.11168770518816
2,2026-07-28,0,CS,3,7.28.26 raw,E31,0.6890000104904175,0.10319999853769939,0.5858000119527181,0.5807666679223379,100.86667233303639
2,2026-07-28,0,CS,4,7.28.26 raw,E32,0.6704000234603882,0.10319999853769939,0.5672000249226888,0.5807666679223379,97.66401142679503
2,2026-07-28,0,CS,5,7.28.26 raw,E33,0.7365999817848206,0.10319999853769939,0.6333999832471212,0.5807666679223379,109.06273004838178
2,2026-07-28,0,CS,6,7.28.26 raw,E34,0.6861000061035156,0.10319999853769939,0.5829000075658163,0.5807666679223379,100.36733162581632
2,2026-07-28,5,WT,1,7.28.26 raw,L29,0.40799999237060547,0.10319999853769939,0.30479999383290607,0.6345999936262767,48.030254789508604
