"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
724.315636727608,-3.84515880115291,0.198993745637893,-19.3230133380669,3.43972595115746e-83,2.99359349529233e-79,"CG15387"
537.976591576807,4.00648431782597,0.217539776188683,18.4172494245418,9.55364828904246e-76,4.15727005297683e-72,"timeout"
1542.23031265105,-10.3060366651687,0.848455656298365,-12.1468182675943,5.96417728318044e-34,1.73020782985065e-30,"CG13326"
928.824853810829,-2.12884247608014,0.18541102307967,-11.4817470974495,1.62954023280995e-30,3.54547216153624e-27,"CG32437"
261.821755543417,-3.53665517017313,0.325544822044041,-10.8638040929881,1.71454776837845e-27,2.98434184563953e-24,"Tina-1"
135.764613092263,2.71085412466085,0.29845809174001,9.08286355667751,1.05755150596255e-19,1.53397845939867e-16,"CG11893"
223.208282053173,1.74729832890737,0.202077290567142,8.64668327650012,5.30178575790182e-18,6.59163449300279e-15,"CG13367"
987.330492656911,8.70397085469632,1.03716435322536,8.39208446340141,4.77597573937747e-17,5.19566460747526e-14,"dbf"
81.4857890117946,-3.46533331068487,0.431323065026142,-8.03419430044817,9.41958219838726e-16,9.10873598584048e-13,"Vha16-1"
193.761995982798,1.76271900944449,0.22139049017289,7.96203580410313,1.69231487234328e-15,1.47282163340035e-12,"CG31436"
323.18452800213,-2.29340829122395,0.295968996101044,-7.74881261698433,9.27557744930962e-15,7.33866823103106e-12,"Bin1"
213.820241170982,-11.1105541546759,1.45764445402521,-7.62226626938734,2.49260190859032e-14,1.80775953420513e-11,"asRNA:CR44114"
479.741340561682,-1.9424909839627,0.25526356719761,-7.60974629199215,2.74634490993929e-14,1.83857228855397e-11,"beat-IIIc"
43.7756295767537,9.37310697913468,1.26134261044738,7.43105552884652,1.07734469282804e-13,6.69723632977317e-11,"lncRNA:CR46123"
975.058401052728,-1.79706847177255,0.242875858328356,-7.39912350342787,1.37086310845972e-13,7.95374775528331e-11,"Paip2"
120.88730782287,2.36343446891257,0.328448211684099,7.19575989406121,6.21138506052307e-13,3.37860526135827e-10,"CG14893"
37.3997617452616,6.68597303804026,0.934879611551613,7.15169413839671,8.5713386866828e-13,4.38802121118826e-10,"rst"
148.158061941435,-10.4877122217065,1.46835576563273,-7.14248717318669,9.16570724770871e-13,4.43161945426716e-10,"sau"
130.566687603725,-3.40587012571234,0.482974658252911,-7.05186093620848,1.7654059630739e-12,8.08648847191165e-10,"CG17560"
475.192868739747,1.04484149627115,0.148976050810316,7.01348633278981,2.3245168255706e-12,1.01151349664705e-09,"DNAlig3"
815.571406565806,-1.88632282676843,0.279667415720871,-6.74487881223575,1.53154802606779e-11,6.34717260517523e-09,"LysP"
282.606279666747,1.29018867549007,0.197502761086807,6.53250956285621,6.46766659207181e-11,2.46318192733245e-08,"CG9360"
651.252179994829,1.70711630026266,0.261364991152093,6.5315415532039,6.50961557263545e-11,2.46318192733245e-08,"Drsl5"
1541.31999404321,1.23373942184251,0.189597762688736,6.50714124653437,7.65943884288379e-11,2.77750401040073e-08,"CG10962"
382.344051413393,-1.45160742642424,0.223672708510798,-6.4898727971283,8.59088766336604e-11,2.99065981337099e-08,"Bap170"
64.3951843471402,-6.80187008858243,1.04945985840157,-6.48130562987167,9.0932258931815e-11,3.00572163577947e-08,"CG33919"
588.558980481132,2.39676779721783,0.370013779500844,6.47750956856558,9.32488615029825e-11,3.00572163577947e-08,"Nmdar1"
357.267500156382,1.27677712689219,0.201959795283729,6.32193712168539,2.58304492954951e-10,8.02865715066763e-08,"Cyp28a5"
125.348671486428,1.58058245435026,0.258420997631353,6.11630815157298,9.57680553648455e-10,2.87403236496638e-07,"CG12224"
663.15231690382,-2.0999365645268,0.344107350537673,-6.10256235807117,1.04381364978679e-09,3.02810339803147e-07,"LysD"
