file,condition,objects_n,image_mean_object_ratio,image_median_object_ratio,image_ratio_of_integrated_sums,image_mean_percent_of_WT,image_median_percent_of_WT,integrated_ratio_percent_of_WT
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series001.tif,CS,493,1.4403369941923119,1.4141641641641642,2.01084185242841,208.71048454394838,204.91793873065117,291.37887803605815
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series003.tif,CS,154,0.8944998295503801,0.8058200024980456,1.6373785757283696,129.61653668739433,116.76648163222643,237.26258320108084
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series005.tif,CS,222,0.5436030255118618,0.43270629496044477,1.3568273279079952,78.77021232642765,62.700840741130726,196.6096060796853
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series008_2.tif,CS,166,0.6086290838382912,0.47804921449139126,1.2663154798770107,88.192743439643,69.27120777613693,183.49408399305844
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series010_2.tif,CS,194,0.5039389790732657,0.4161279512992,1.253172354894148,73.02273629508734,60.29857366583785,181.58959358931568
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series012_2.tif,CS,115,1.6314759056176766,1.6220338983050848,2.382841580494475,236.4072631309353,235.0390792064617,345.28309892876894
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014_2.tif,CS,112,1.4975559774152063,1.4308965285521167,2.3284151112542375,217.00173982775718,207.34252401385694,337.39648988314326
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018.tif,CS,1243,0.4522327256615476,0.2857142857142857,1.4048195999066027,65.53029720130192,41.40112157988129,203.56387468736705
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series020.tif,CS,333,1.002369853499349,0.8952879581151832,2.0187467419898413,145.24732660457022,129.7307396102563,292.52432756438736
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series022.tif,CS,525,0.7522018695159581,0.6321070234113713,1.65006320438529,108.99700368355465,91.59478904712867,239.1006356873537
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series026_2.tif,CS,99,0.9895157100408918,0.8436781609195402,1.707574435859207,143.38471075811933,122.25227740082187,247.43423888996486
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series028_2.tif,CS,127,0.9431825436872779,0.8427201917315758,1.5408778431304744,136.67085307126544,122.11346390494944,223.2792482311651
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030.tif,CS,43,0.8443393346906072,0.8599242495382978,1.1675000284512094,122.34808407570668,124.60639941618138,169.17533717848187
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series030_2.tif,CS,18,1.2866799995869078,1.2883561782865804,1.6772311596107687,186.44498284054714,186.68786771401878,243.03737904813752
