"pathway","gene","lfc_F","padj_F","lfc_M","padj_M"
"Control","betaGlu",0.044177017852594,0.914011411436589,0.0823553539326682,0.80088557456231
"Control","eff",-0.19057514823758,0.633946154767728,0.0589397212046785,0.898038460036893
"Control","ida",-0.0241474244120639,0.988112749391903,0.0722789655064249,0.88351791636262
"Control","morgue",0.140526836947545,0.608863637495612,0.0133505387079141,0.971627062788932
"Control","mRpL9",-0.274973909524574,0.317923888064577,-0.18560946913765,0.56928777599924
"Control","mtSSB",0.766030038419982,0.544042200470075,0.118868094396799,0.928541721197848
"Control","PIG-T",-0.0571403770147414,0.900048831812487,-0.0792867478546194,0.836856924015766
"Control","Prosbeta6",-0.22037995262159,0.345655810216481,-0.127145413173707,0.670581377497576
"Control","shrb",-0.115125319048812,0.602864168522844,-0.158845649647819,0.396550602424266
"Control","Ubc2",-0.0999479955832196,0.897994360525618,-0.478240861276075,0.239955344354401
"Control","Ufc1",-0.309917688493914,0.12558738287664,0.249786908027314,0.264240842737157
"ISR","AIMP1",0.0184207595534126,0.988815348912362,-0.124300258668614,0.763495668498293
"ISR","Atf6",0.613695153835568,0.448743644294152,-0.634394936017897,0.378083949329816
"ISR","chrb",0.151007695678783,0.744143640193043,0.16049182761378,0.707433616855055
"ISR","crc",-0.140927283481484,0.921674841567995,0.495345626003961,0.525382983057153
"ISR","CysRS",-0.12127266940437,0.715310198892651,0.12364303627208,0.696877247849502
"ISR","Gadd45",0.22642565177424,0.87581226173465,1.20277223664519,0.10323613777465
"ISR","PPP1R15",-0.0279980828896947,0.92970401936475,0.0752523357077753,0.728612485122517
"ISR","scyl",-0.296710603487148,0.768998889964586,-0.327137516501245,0.723609982708859
"ISR","trbl",0.192608589556444,0.49937425868177,0.0011249027892802,0.99752812760621
"ISR","TrpRS",0.306235172462766,0.0172458877317722,0.468844789212532,1.54967487401226e-05
"ISR","TyrRS",0.353787022858298,0.0111910042387119,0.136888138633648,0.48176363681765
"UPR (ATF6)","Creld",-0.0531653487328711,0.951843149054233,-0.00534781518326099,0.994360725949594
"UPR (ATF6)","ERp60",-0.0226069961802548,0.934253657716441,-0.181796551701585,0.115621224496932
"UPR (ATF6)","foi",-1.11098425760979,0.384956540780696,-0.806247083757923,0.578301440273498
"UPR (ATF6)","Grp170",-0.108413430045176,0.922284362201712,0.0170232020756603,0.986901913208771
"UPR (ATF6)","hlk",0.32127013265232,0.428972580797336,-0.521345712194856,0.122925592662585
"UPR (ATF6)","Hsc70-3",0.0705332946417178,0.961574611152631,-0.282631552816541,0.713385077916625
"UPR (ATF6)","Manf",-0.450748361815355,0.121800792216961,-0.377367082040022,0.222721712385548
"UPR (ATF6)","Mis12",1.60916693043306,1.15474143564294e-07,0.998951609914471,3.01580690561368e-06
"UPR (ATF6)","sgl",0.213468543587647,0.511802012816918,0.22126838343307,0.489142450104019
"UPR (ATF6)","shv",0.0543497432902478,0.90510906780358,-0.335867742795278,0.0998164637736942
"UPR (ATF6)","Zip71B",-0.317518109968015,0.646103647877473,0.125305119575519,0.893897982647543
"UPR (IRE1/XBP1s)","Der-2",0.0878834091357935,0.77315180119001,0.0144777876328332,0.964265253835332
"UPR (IRE1/XBP1s)","ergic53",-0.133443557264635,0.738507745519422,-0.121432476870632,0.761000858358026
"UPR (IRE1/XBP1s)","Hsc70-2",0.207811372580594,0.641868176396555,0.0356811532182553,0.945449854421544
"UPR (IRE1/XBP1s)","Hsc70-4",0.199320071234899,0.884388827785604,-0.664906223621867,0.471534384070366
"UPR (IRE1/XBP1s)","Hsp68",-0.226718101684663,0.461472929862787,-0.0494139620666367,0.912603704304311
