comparison,sex,analysis,direction,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,gene_symbols,significant_BH_0.05
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03082,ATP-dependent chromatin remodeling,62,-0.36234375935143937,-1.2824569307721703,0.10227272727272728,0.2833806818181818,0.22876794258373206,3065,"tags=34%, list=23%, signal=26%",38637/41942/35880/3772278/42954/32268/39102/3772329/36241/39212/45655/38565/33973/48632/35485/37339/40657/32514/35526/37368/35560,Eaf6/mor/MrgBP/His2A:CG33862/polybromo/Bap60/Uch-L5/Chrac-14/tou/simj/dom/HDAC1/Gas41/Act87E/d4/DMAP1/Snr1/Arp6/Act42A/Act57B/Bap170,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03060,Protein export,26,-0.4788935035625465,-1.3719754031977673,0.10714285714285714,0.2889138576779026,0.23323477232406858,2075,"tags=46%, list=15%, signal=39%",35052/38593/38819/36759/32133/38883/46080/38815/40815/47251/39028/42439,Sgt/Srp54k/Sec63/CG8320/Hsc70-3/Srp9/Sec61beta/Srp19/twr/SrpRalpha/Srp68/Srp72,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme01240,Biosynthesis of cofactors,119,-0.31934353234584334,-1.251491209611147,0.10861423220973783,0.2889138576779026,0.23323477232406858,2856,"tags=33%, list=21%, signal=26%",43739/40263/40936/32212/36507/39828/41192/41135/36730/40692/37809/53584/35307/53503/41334/36379/36795/53501/37415/34613/42466/39436/33777/53506/31781/37815/35986/32967/34394/40946/38647/37420/41236/39988/43165/42493/46140/31726/41574,awd/Hpd/Rfk/Fpgs1/Nadk1b/GluRS-m/Mpi/phu/Gmppa/CG12170/CG3803/Ugt37B1/Ugt37A1/Ugt303A1/Ugt35A1/Ak6/Lipt1/Ugt304A1/Pu/Nfs1/Adss/Pmm2/Coq6/Ugt35E2/Sptr/Alas/Urod/CG12237/Cox10/CG2767/Ppat-Dpck/Ugt49B1/Alp13/CG7430/Cmpk/r-l/Hmbs/Ldsdh1/Ugt37A3,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04150,mTOR signaling pathway,83,-0.3408635396623492,-1.2637482112846283,0.1111111111111111,0.289760348583878,0.23391812865497078,1801,"tags=18%, list=13%, signal=16%",43991/42862/41140/48311/42869/38793/31903/36731/31248/41071/39454/44702/35042/326255/38654,Pten/Tsc1/Ras85D/Pkc53E/TBC1d7/BHD/Lst8/Vha14-1/sgg/RagA-B/Atg1/Vha36-1/CLIP-190/eIF4EHP/S6k,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00592,alpha-Linolenic acid metabolism,11,-0.5920025410065433,-1.4023746976707623,0.11728395061728394,0.2999762583095916,0.24216524216524216,2917,"tags=45%, list=21%, signal=36%",43461/31747/37028/37446/31641,CG14507/GIIIspla2/ACOX1/Acox57D-d/CG4586,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00280,"Valine, leucine and isoleucine degradation",28,-0.4529196366697957,-1.3430014849942604,0.1252408477842004,0.3142836368924274,0.2537153222241994,2362,"tags=43%, list=17%, signal=35%",3355069/42364/32441/30995/41149/36392/37784/38979/34313/40097/39988/40059,BckdhB/Arc42/Dbct/CG17896/BckdhA/CG8778/Mtpbeta/CG6638/yip2/Aldh7A1/CG7430/CG3902,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03440,Homologous recombination,17,-0.5072114760327826,-1.3361671216839048,0.1285140562248996,0.3165253607020675,0.25552502407289973,2022,"tags=29%, list=15%, signal=25%",31044/38228/50428/41366/31565,mus81/PolD2/Sem1/Blm/Top3beta,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00240,Pyrimidine metabolism,28,-0.445883704558102,-1.3221384741877484,0.13872832369942195,0.3294797687861271,0.265982876265809,929,"tags=29%, list=7%, signal=27%",40916/37875/34392/36280/43165/42493/36121/31858,pyd3/cN-IIIB/RnrL/RnrS/Cmpk/r-l/CG11883/su(r),FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04320,Dorso-ventral axis formation,27,-0.44783407584265433,-1.3091734664068395,0.13872832369942195,0.3294797687861271,0.265982876265809,1903,"tags=30%, list=14%, signal=26%",47781/33611/31293/44543/41140/42757/39833/41666,fs(1)K10/capu/N/enc/Ras85D/pnt/aos/sqd,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03272,Virion - Hepatitis viruses,18,-0.4961422582213567,-1.316597664491868,0.1440162271805274,0.3360378634212306,0.27127710383035625,2190,"tags=72%, list=16%, signal=61%",35613/34211/32777/43330/38750/37455/35614/40250/35411/43127/246490/35933/59178,Tsp42Ed/Tsp29Fa/Vps4/ALiX/Ist1/Egfr/Tsp42Ee/CG5498/Lamp1/Tsp96F/CG30160/shrb/Tsp42Ea,FALSE
