"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"CG1622",2.05496733836947,2.4803166585356,-0.198544304504446,2.02455347420569,0.671478156258736,1.66890330658898,1.18079236589135,1.24415567101242,0.70069630315643,2.40101658352644,1.6857661605572,1.84755518505342
"CG1628",0.622762965803787,0.586935646506511,2.69178025156629,5.65969897986447,5.84948801822109,5.68477578866689,1.81623975766857,0.650592454215318,0.631519995661026,5.61830906355471,5.10659601914103,5.17197818078927
"CG1631",1.17628746911312,1.1421093210582,3.67313216216643,7.47941703226345,7.47562140000058,7.49625591508871,1.16068619017033,1.20292215699688,1.18466045444835,6.66918253819232,6.56728131695271,6.92179858445389
"CG1632",-1.69336936061511,-0.893618162916147,-1.67052682180215,-1.70670569472751,-1.70381618135562,-1.76822196772688,-0.874172943042052,-1.67338715258003,-1.6870725609495,-0.332255162741278,-1.7605207513228,-0.849249011786368
"CG1635",5.73793676987456,5.84353495638616,5.28802002494925,5.34781987575425,5.84680111983492,5.86738234252492,5.7285347028521,5.99542873047518,5.52796687882791,5.56084745042908,5.87143688218378,5.77385435087433
"CG1636",3.17758973054886,3.41475301269813,3.53383417567181,3.14581711179955,3.76039939897172,3.20538817585203,3.44910267178485,3.33469277931939,3.07227723928333,2.59698135383142,1.69370325679448,3.30134132323859
"CG1637",9.96836476849869,10.1274341355302,9.8965512161313,9.57404963036803,9.80681504452962,9.54571385715011,10.1950494304377,10.4630383624635,10.4905096123932,10.000068616585,9.92006616746827,9.91392222203524
"CG1638",4.60068317812246,4.27673271276716,5.05132858006252,7.68536275679543,7.64716764981172,7.5862651909321,4.51319939471101,4.64584892942343,4.55360433862168,7.56355864717545,6.95056431968811,7.41504988425774
"CG1640",3.9317748396663,4.44281531176716,4.14094207338394,5.69647758424701,5.8999368406913,6.04367055107265,3.98399440357033,3.58496914683165,2.72950783252916,5.61974971210282,5.05951622583227,6.0451877765462
"CG1647",0,0,0,0,0,0,0,0,0,0,0,0
"CG1648",8.04372946738615,8.13440840296811,8.49464968350813,7.81277191104456,7.99595596675406,8.06493646458339,8.04366867193503,8.43776193630083,8.51146742965059,8.23332836933632,7.97707811938207,8.18155706253176
"CG1662",6.98735193586922,7.15237878162344,7.13591092212803,6.72763817271809,6.63821025107404,6.6057466203221,7.12395747229456,7.00342946602654,7.10946154737004,6.64119580134861,6.71982249669797,6.66795776845572
"CG1663",5.71865322651402,5.65698205917158,5.72327335759529,7.38682483043133,7.44971355828553,7.07564313707371,5.78399548856432,6.10386639344455,6.30060262475812,7.3152730946295,7.0502003684949,7.17989304664829
"CG16700",9.49035623727655,9.46838655317552,9.67337129203613,9.22016518303117,9.23113925990862,9.30066702614428,9.21673790282172,9.36952004881671,9.55062930853584,9.15780690129827,9.15742168929167,9.11836238929656
"CG16704",0,0,0,0,0,0,0,0,0,0,0,0
"CG1671",6.9228258720743,7.12327933599111,6.98998967747607,6.72370298045025,6.69928993472741,6.69794082843538,7.05390093250896,7.28867331863091,7.00091034216294,6.6249168727695,6.88914727263099,6.80340437155776
"CG16710",2.71318895177348,3.31143354641598,2.2059153099706,3.98147341175189,3.8304662271888,3.71919697004202,0.205387345168814,2.19946085176908,1.55554554513308,1.54253852511366,1.74349069182972,2.16831582519092
"CG16711",5.38124089445337,5.23161049834374,5.38028506240152,5.72514942022165,5.48687306877379,6.06648203272803,5.70880059201825,5.76827925541347,5.87154291055414,6.178212302409,5.82403561266858,5.79442698150156
"CG16713",10.1615156738301,10.4451960532562,9.84796393039579,9.06920623213336,9.05081974141939,8.65174163263859,10.8420115836836,11.0724835155744,10.6078530803974,9.3274541403207,8.86156414106373,9.61358204864736
"CG16717",7.91795647768701,7.96786596758773,8.25701847671682,8.24967715720198,8.39707473255946,8.26654769129179,8.13049634724143,8.14574431394474,8.31383841392207,8.30456140504723,8.58936944518815,8.46123578742492
"CG16719",5.02767483170954,4.5402905775686,6.96202392944549,10.3366673358902,10.2754116610457,10.4302298997719,5.11859811436138,5.33183693754202,4.26445091024555,10.1124027969303,9.85945256363115,9.93041764437001
"CG16721",6.53473317715008,6.92072220887008,6.56729563730702,6.53746658391903,6.90924479934906,7.06036449785149,7.02962964171765,6.97872776667686,6.44780507725593,6.62886739745701,6.12570902197682,6.5983847133024
"CG16723",2.27397981126917,1.36407306789998,2.16506663479066,0.498111297175183,-0.455130663193675,-0.524629867061452,1.67159181869443,1.09363753970278,1.93721943324427,1.05338173759409,0.404944949205828,1.71158157568503
"CG16727",6.12606659589266,6.47999445694582,5.5700626829698,3.8567767082963,3.53721119058837,2.48904065835101,7.24774349086719,7.28081997282665,5.84844613698797,5.19621363588644,3.53329023262444,5.32670941371686
"CG16734",5.83176926244092,6.17114103764484,6.10963372070548,6.39925773493321,6.23849164915494,6.31113290024074,5.50658066468955,5.63442708837323,6.3750225265529,6.26495820423006,6.12165137528907,5.90621358721227
"CG16736",1.10741867998119,1.07312673141506,3.63697426185109,7.06213227509842,6.98577678430357,7.1442056523991,1.09176593114067,1.79611201229567,2.18691878565154,6.02185841373464,6.03176336962293,6.44645625460301
"CG16739",3.20469930671674,2.49962612480597,5.96106299179254,9.46419627409421,9.47335746329523,9.57271594865169,3.40584662346529,3.64260861585008,2.52951733693275,9.32182500386989,8.97892044241121,9.21411080638749
"CG1674",7.64679249332123,7.5534457478187,7.33263169730431,7.24838345650141,7.22633309713543,7.62567972163883,7.61645371206509,7.50801132850096,7.50992274719361,6.91896009054778,6.96005190499432,7.37492656699751
"CG16741",2.22049340793628,1.64566476221639,4.17778097670896,8.36109290513905,8.45834404873667,8.30200579587259,1.66253696852054,1.70104491065374,1.68437021490072,8.15490209292398,7.85223573306538,7.88230545836177
"CG16743",-0.417621184967468,-0.45656981913237,-1.33628618025926,-0.43775414557578,-1.37717659658006,-1.45628834440324,0.473983927872787,-0.387293205495357,-1.35660985638717,-0.417742387715433,-0.518081582278156,-1.35677756178551
"CG16749",10.1291212544161,10.1402092450445,9.8478488400873,7.97507458132192,7.96105510490803,6.48200779818559,10.1339903345489,10.1843313844944,9.73025840420778,8.83520685844506,8.58141006880848,8.06244364953256
"CG16753",6.06003776435026,5.90982074638063,5.68521725198174,6.15101495650591,6.11316925866421,5.96575869041954,6.09434684602493,6.00693162915869,5.81931744291091,6.12396296586601,6.34333853510128,6.18560421027091
"CG16756",6.52010240158358,7.12815363563198,5.75013350960902,5.3276616739447,5.0698569448581,5.18011708385997,6.63396439531802,6.74597997221913,6.39650213583603,5.60026848032458,5.25545205847893,5.7523172878331
"CG16758",1.97707643929489,2.18134959243733,1.20463160744875,4.42356551408031,4.00425553652229,3.55199889132878,2.42573396312087,2.4985738198367,1.1748105127797,2.92772249882003,2.76718124310212,3.17836864902927
"CG16762",10.1454608662051,10.0617904316515,10.4481742527123,10.4686810168654,10.0690840048871,10.0518060796956,10.3239920864385,10.771107245015,9.96463365264029,9.59068794131471,8.7252707167929,10.2788539777804
"CG1677",5.53074312092027,5.67516762597309,5.26996209211104,5.18094271953002,5.02873611183265,5.64296370746808,5.85284570126909,5.3508983346208,5.2590012045395,5.53054101726741,5.1897396715774,5.16680170935133
"CG16772",0,0,0,0,0,0,0,0,0,0,0,0
"CG16775",4.8296700311957,4.8325709782578,4.85180916070955,4.02046210415127,4.09439582548755,2.99814419036584,5.23862010086078,5.29663029796026,4.88072538368797,4.24312611380298,3.66605956477481,3.65650792951008
"CG16779",1.49389404408513,0.792164854251714,1.26158746392832,1.68980028639029,-0.717492583002006,1.05600691305699,0.279839864963121,-0.687856447294536,1.22647982231054,1.21297987069864,-0.77235170371102,0.31028629817649
"CG16781",0,0,0,0,0,0,0,0,0,0,0,0
"CG16782",3.8662440116014,3.66154021703232,6.32228825417277,10.1567567460141,10.1766624844847,10.2040851667337,2.90697200608424,3.27718286745829,3.87662863598494,9.8770627569766,9.6426047807033,9.70166484515938
"CG16786",1.95985754307396,2.72392169821745,2.41581685847009,1.31364439949325,0.82027040244706,0.708444838667433,1.93376071774625,2.22412081840231,3.01809567125301,1.69050899233874,1.54849482021582,1.70382139671179
"CG16787",9.0556249848655,8.91901445994796,9.07242268919381,9.14820710941352,9.12081676707096,8.8580915232537,9.31990289214199,9.16448529692235,9.44954243774355,9.29090749921587,9.15683507470118,9.13530394078672
"CG16789",0,0,0,0,0,0,0,0,0,0,0,0
"CG16790",-2.24251730851345,-2.2519437026538,-2.2341886817659,-1.93348900397841,-2.24632632778922,-2.26980934600626,-2.24680907806129,-2.2352315880566,-2.24022142999712,-2.24254651869445,-2.26700140256982,-2.24027121058007
"CG16798",4.74593922650757,5.112287422876,5.20406109198921,4.83673677682406,5.4179971884121,6.01495252125325,4.75989580383227,4.83739746089654,5.55294234960383,5.42027539230695,4.74349728062256,4.92312298827327
"CG16799",1.3764395014655,1.3190012693367,0.187448471636366,-0.92592749343766,-0.923170257963653,1.92920040080393,0.128177514553782,-0.89410856099367,0.722572991725988,0.709893241596062,-0.977157631056475,0.722301342105458
"CG16800",1.74944255745669,0.291707322261991,1.29250769185854,1.21592523515464,1.22202108894426,0.729282111635797,-0.673259035209776,0.914915947675014,-0.655501738625917,1.52370154327044,1.10306504247837,-0.655636094416088
"CG16812",8.05745730264255,8.09965101308243,8.07011336636989,8.7026369090447,8.74722606274916,8.64359052329697,7.86171651303665,8.06750584980536,8.16809876397205,8.37345806145078,8.30947901937598,8.46306603517968
"CG16813",0,0,0,0,0,0,0,0,0,0,0,0
"CG16815",-2.0079772582523,-2.03209629791821,0.058306878484923,-2.02041896360673,-2.01772328474267,-2.07780859832266,-2.01895848377927,-1.98933549788488,-2.0021028608763,-2.00805199749022,-2.07062399537536,-2.00223023300149
"CG16820",10.134254026508,10.0994083423993,10.0632671965023,10.1316953349766,10.2808978191222,10.3339051033069,10.1628375548241,10.1144569355624,10.5479887164449,10.4528617169836,10.843166751734,10.3241187689233
"CG16824",1.86090329056763,2.21073323876534,3.58745018027736,6.71303224162983,6.69122589538276,6.80624009834806,2.53057763399934,1.89510537220659,2.99511951031976,5.9748263618413,5.63228571803383,5.9492720985589
"CG16825",-1.89733183678301,-1.92089343750839,-1.87651414392035,-1.90948598960022,-1.90685261323207,-1.9655492358025,-1.90805926436411,-1.87912092454605,-1.89159320840506,-0.204864798482168,-1.9585306833079,-1.10713646504497
"CG16826",0,0,0,0,0,0,0,0,0,0,0,0
"CG16837",1.35792911645117,1.32477114098926,3.94581386200802,7.93739144328638,7.64837267212617,7.77494782686759,1.34278719995388,1.38380364034993,1.36605988617596,7.51578338122911,6.88457900317357,7.36144618015224
"CG16852",1.28467882000169,1.25114946010645,3.72565074001447,7.55189534348295,7.64838783947928,7.4529589977306,1.8828727047364,1.31083141782185,1.29289807153926,7.13853150627147,6.84958819521868,6.94047663204524
"CG16853",-1.89364651123931,-1.9156342940628,-1.8742193545327,-1.17281443640185,-1.90253133902808,-0.415980495205302,-1.90365739083349,-1.87665201294732,-1.88829119960535,-1.89371464621294,-1.95075752683292,-1.8884073166094
"CG16854",3.23699499566823,2.81126036882683,2.3852946108078,3.48200569608005,3.10244835960527,3.05721413147573,3.48586216499136,2.37903238471482,2.88619246115333,2.33523096513641,2.5655249745061,3.8834376590705
"CG16863",0,0,0,0,0,0,0,0,0,0,0,0
"CG16865",-0.720172360354851,-1.95739349451362,-1.91907802988481,-1.94754471974745,-1.94527115856766,-1.99594768322812,-1.94631293717725,-1.92132862926988,-1.25471795594915,-1.93711430296109,-1.98988812080361,-1.93220417144804
"CG16868",7.56692876413361,7.92340546481801,7.88513134719966,7.4727009703819,7.58707244419818,7.72663741208689,7.6502403657063,7.8144751540439,7.52810164571797,7.44191329116211,7.5975450252262,7.66854342410054
"CG1688",5.45619668930524,5.23060689246034,5.56304079880129,5.72975950868517,5.5715883894718,6.06654422004272,5.07851938255863,5.34441092220524,4.77056002064388,5.5052124576969,5.73682974522369,5.67864221012045
"CG16888",0,0,0,0,0,0,0,0,0,0,0,0
"CG16890",-2.24387363785536,-2.25389015992812,-2.23502360756696,-2.24904061871495,-2.24792111614698,-2.27287426013859,-2.24843408841228,-1.90259017745144,-2.24143402865881,-2.2439046767042,-2.26989052882082,-2.24148692569456
"CG16894",2.21375461974485,2.18693873074079,5.86914739400253,9.40236489076052,9.2621397271707,9.26908193823218,2.20148069658054,2.2348364101808,2.22036471590669,9.18961456426059,8.92737276344454,9.00271842903196
"CG16896",6.59561411412558,6.7789249824084,6.36569556403019,7.27679193208317,7.28427410062227,7.43394638779693,6.50446176143845,6.15580741661592,6.64699341938938,7.0406320142679,7.29528236883732,7.28066606521354
"CG16898",8.28269998402783,8.32570887731477,7.9130556088965,6.4602212913467,6.85058713924789,6.34454212745649,7.4475285459149,8.15474039917856,7.19542102109999,7.52019826471545,7.33805359226242,8.02675585860641
"CG1690",0.932224872031838,0.883694472400226,1.49374327884681,3.38431125833338,3.12216728157272,2.61562387687674,0.0297730624997663,0.0723447155011323,0.944078869361957,4.82578575935699,3.99456450722474,4.23223800167752
"CG16903",8.39210961763884,8.33589847950966,8.18234643224779,8.29767536675845,8.11923217731285,8.28309488338692,8.42562752849619,8.40655159111961,8.45310457637218,8.32450882097071,8.30871646972058,8.29797189422701
