"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"CG15387",580.720854821407,-3.92955532407496,0.197246288625708,-19.9220748408181,2.61910203740344e-88,1.95280247908801e-84,"CG15387"
"timeout",597.128150677276,3.96185054231995,0.229392665015106,17.2710428298091,7.7725133324459e-67,2.89759297033583e-63,"timeout"
"Tina-1",235.139510324863,-3.5403113691072,0.239476291933386,-14.7835568211153,1.87023142876547e-49,4.64814851095845e-46,"Tina-1"
"Nmdar1",653.468025715864,2.49132020624968,0.219330232093661,11.3587633700483,6.70875459967631e-30,1.25051185737966e-26,"Nmdar1"
"TotZ",281.332104373668,-4.11554171353569,0.401916665745383,-10.2397886534591,1.31523360212738e-24,1.65102049568456e-21,"TotZ"
"LysP",1001.25972032567,-1.77949632246461,0.173799143502108,-10.2388095050826,1.32861091390925e-24,1.65102049568456e-21,"LysP"
"beat-IIIc",386.162716728053,-1.96780479148765,0.195224791883454,-10.0796869726586,6.79422247476658e-24,7.23681753883709e-21,"beat-IIIc"
"LysX",210.535509171295,-7.73670411881129,0.826752398815651,-9.35794577662474,8.13019518968958e-21,7.57734191679069e-18,"LysX"
"asRNA:CR44114",195.323313361387,-11.0771908551534,1.1989335880827,-9.2392030428205,2.48339979911007e-20,2.05735876690719e-17,"asRNA:CR44114"
"AsnS",2619.22446457832,1.11703169762665,0.121636195149744,9.18338243194385,4.17758547968939e-20,3.11480773365641e-17,"AsnS"
"AttD",218.30847978888,-2.81540388149794,0.310325399615609,-9.07242489652892,1.16397207327203e-19,7.88961434392385e-17,"AttD"
"CG1304",87.6233025987598,7.03212033067315,0.788571079765869,8.91754784205506,4.76726328875956e-19,2.96205959008261e-16,"CG1304"
"Vha16-1",67.2824337005183,-3.28974000135062,0.378105503679636,-8.70058745333149,3.30170495260491e-18,1.89365477897094e-15,"Vha16-1"
"sau",126.926779872288,-10.4554021278639,1.2173479792609,-8.58867169123804,8.79805244856954e-18,4.68559136118103e-15,"sau"
"Paip2",973.797713840745,-1.82723177124639,0.216263054455076,-8.44911663645236,2.9351513002851e-17,1.45896587299505e-14,"Paip2"
"CG31436",244.48778256813,1.76730910074631,0.20959237280763,8.43212506768266,3.39443916620015e-17,1.58180865144927e-14,"CG31436"
"dbf",163.372357777132,8.94396155771012,1.07303087050168,8.33523228789168,7.73461926763971e-17,3.39231301526598e-14,"dbf"
"CG9360",457.796597327827,1.33974175609357,0.163678487578028,8.1852036630953,2.71843522275336e-16,1.12603627893606e-13,"CG9360"
"CG13367",319.049700506419,1.7181684096554,0.214351801118306,8.0156471776372,1.09558586911615e-15,4.29930960006844e-13,"CG13367"
"Bin1",140.279638790055,-2.38409987427878,0.303445114496639,-7.85677462045673,3.94151138324088e-15,1.4693954436722e-12,"Bin1"
