module,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
FOXO,ImpL2,1027.4152684954536,0.9473688623548373,0.14820465926530735,6.392301477235697,1.6340731169579842e-10,3.80925787464577e-8,Up in CS
FOXO,Lsp1gamma,4670.47476076247,0.5382258016579224,0.21280890265390773,2.529150777743739,0.011433889623586966,0.08083977940974528,Not significant
FOXO,Gadd45,581.8083855673873,0.2264284571422469,0.4961041636054141,0.45641313609764644,0.6480929213762434,0.8758094186417046,Not significant
FOXO,Lsp1alpha,3330.1124466098404,0.19827387975046568,0.3542197747119315,0.5597481956271682,0.5756512034481631,0.8456778535073193,Not significant
FOXO,GstE1,1434.209687301253,0.19454265517550526,0.1408534100946983,1.3811710702972027,0.16722636757684817,0.4674972290571382,Not significant
FOXO,Atg6,332.0563483261144,0.19388344407522357,0.12538671112794486,1.5462838312856335,0.1220360351051812,0.3866790991834231,Not significant
FOXO,Ilp6,951.8753253044283,0.19078751828800164,0.18355263575629543,1.039415846587526,0.29861137727790815,0.6341800430242178,Not significant
FOXO,puc,84.65246972263208,0.10889222431010502,0.2946012249563772,0.36962583684514255,0.711661297400036,0.908818989745953,Not significant
FOXO,Rbf,307.3761923469795,-0.07782343083040386,0.1647195565040394,-0.4724601770555119,0.6365983600326374,0.8694352225487594,Not significant
FOXO,Cat,9563.60226295925,-0.10220274357043502,0.12406989558388672,-0.8237513466861365,0.4100808575947733,0.7385093276761703,Not significant
FOXO,dap,253.42558396045084,-0.10879259234909394,0.1622874481578319,-0.6703697271971903,0.5026221278083123,0.8069705362172631,Not significant
FOXO,Sesn,19.669233088097588,0.13560376893082898,0.3679654943669204,0.36852305720712597,0.7124832558488958,0.9094416277332824,Not significant
FOXO,bmm,8.492007605984456,-0.051371142615198186,0.754720320636715,-0.06806646278168216,0.9457327272410541,1,Not significant
FOXO,Atg8a,1004.6394083484669,-0.09967243394853774,0.15788075171717242,-0.6313146654323697,0.5278347997484953,0.8239150815282138,Not significant
DNA replication,timeout,580.775847546423,3.9585293917802646,0.18391251425327634,21.523980615744012,9.283956225077672e-103,3.787389942020436e-99,Up in CS
DNA replication,DNAlig3,484.344635152293,0.9916568111234569,0.10652969507436962,9.308736033001594,1.2936258273983909e-20,1.474064917844085e-17,Up in CS
DNA replication,PolD2,64.28057171999187,0.5116827605911137,0.2257317225586303,2.266773826874121,0.023404045779622233,0.12925582149144374,Not significant
DNA replication,Top1,43.02860600551389,0.4441542477592009,0.3329309671171855,1.3340731011148834,0.1821799003704024,0.4923503832799315,Not significant
DNA replication,DNAlig1,73.32994855133482,0.44185939630431764,0.19711625021542395,2.241618313159972,0.02498605136315208,0.13473971782680622,Not significant
DNA replication,PolE2,35.43346397962592,0.3180864356290234,0.3334331953673639,0.9539735096818059,0.3400970516014323,0.6782820444918323,Not significant
DNA replication,PCNA2,86.71849283705468,0.26705543057596876,0.22485572349925226,1.1876745960476156,0.23496163607312218,0.5724251981847129,Not significant
DNA replication,Cdc45,196.4910704690283,0.2665252801467151,0.18448884681327016,1.4446687957049127,0.1485509387863749,0.4373970081407553,Not significant
DNA replication,Mcm6,105.60980429776873,0.2136115391667956,0.19946411117083648,1.0709271854115259,0.2842021711471105,0.619614418745745,Not significant
DNA replication,Cdc6,34.45718199068895,0.18649110179315637,0.2565506724858447,0.7269172206260582,0.4672766672683737,0.7790172309445568,Not significant
DNA replication,Mcm2,95.96296041466017,0.15877234368255067,0.24342000040608544,0.6522567719073152,0.514235541616807,0.8158340825488102,Not significant
DNA replication,PolE1,88.14436279279239,0.11449655305766523,0.24802928209365538,0.4616251439796998,0.6443501601303614,0.8734429234928757,Not significant
DNA replication,DNAlig4,139.41289615026696,0.10643842803099833,0.1973571194133872,0.5393189176421388,0.5896668176945532,0.8467872808810145,Not significant
DNA replication,Prim2,35.33422112433973,0.09435290903096008,0.36905626287519605,0.2556599589880621,0.7982134158942685,0.94687747314355,Not significant
DNA replication,Mcm5,80.26426139092399,0.009141891755788287,0.277108528161588,0.03299029379008304,0.9736823278631245,1,Not significant
DNA replication,RfC4,125.45169561307516,-0.012059394216278,0.13519493716141032,-0.08920004305989797,0.9289229311586978,0.9937173456567217,Not significant
DNA replication,Orc4,92.9613801242506,-0.027236813794764527,0.23323318294068401,-0.11677932552886956,0.9070349274763588,0.987163292144169,Not significant
DNA replication,PolD1,113.11140699223078,-0.04866429913221758,0.16902685391677874,-0.28790868435720696,0.7734166391042091,0.9354781255549609,Not significant
DNA replication,RnrL,189.84115977629244,-0.06588373805835882,0.18576264521427305,-0.3546662354122025,0.7228396488323204,0.9119239661485348,Not significant
DNA replication,Orc1,23.265020000114365,-0.06377436562381582,0.3895217939030233,-0.16372476873448913,0.8699478180263082,0.974183948294901,Not significant
DNA replication,RPA1,615.7802708937328,-0.0979953469748485,0.08123225680440373,-1.206360020389536,0.2276787042872138,0.5633463701043048,Not significant
DNA replication,Mcm7,18.03450614791914,-0.11380898345733233,0.4436493970892362,-0.2565291065513173,0.7975423083947574,0.9462189463709213,Not significant
DNA replication,Orc5,50.297674104990364,-0.1355228014180917,0.24074760297413972,-0.5629248214473358,0.5734860773751409,0.8456778535073193,Not significant
DNA replication,PolA1,79.71976828650936,-0.1733397127368621,0.2842066727282469,-0.6099072589425312,0.5419232437030712,0.833625894678235,Not significant
DNA replication,RnrS,264.8312176852724,-0.2021973509415314,0.18634275469566394,-1.0850829766457049,0.27788490629323526,0.6126474084620276,Not significant
DNA replication,Orc6,11.337282896827142,-0.20334542582265394,0.5403827776994373,-0.37629886483124625,0.7066947231321576,0.9055948242555795,Not significant
