"Package","Version","Built"
"lattice","0.22-9","4.4.3"
"latticeExtra","0.6-31","4.4.1"
"lazyeval","0.2.2","4.4.1"
"lifecycle","1.0.5","4.4.3"
"limma","3.60.6","4.4.1"
"litedown","0.9","4.4.3"
"lme4","2.0-1","4.4.3"
"lmtest","0.9-40","4.4.1"
"locfit","1.5-9.12","4.4.1"
"lubridate","1.9.5","4.4.3"
"maftools","2.20.0","4.4.0"
"magrittr","2.0.4","4.4.1"
"markdown","2.0","4.4.1"
"MASS","7.3-65","4.4.1"
"Matrix","1.7-5","4.4.3"
"MatrixGenerics","1.16.0","4.4.0"
"MatrixModels","0.5-4","4.4.1"
"matrixStats","1.5.0","4.4.1"
"maxstat","0.7-26","4.4.1"
"memoise","2.0.1","4.4.0"
"methods","4.4.1","4.4.1"
"mgcv","1.9-4","4.4.1"
"microbenchmark","1.5.0","4.4.1"
"mime","0.13","4.4.1"
"minqa","1.2.8","4.4.1"
"modelr","0.1.11","4.4.0"
"munsell","0.5.1","4.4.0"
"mvtnorm","1.3-6","4.4.3"
"nlme","3.1-168","4.4.1"
"nloptr","2.2.1","4.4.1"
"nnet","7.3-20","4.4.1"
"numDeriv","2016.8-1.1","4.4.1"
"openssl","2.3.5","4.4.3"
"org.Dm.eg.db","3.19.1","4.4.1"
"org.Hs.eg.db","3.19.1","4.4.1"
"otel","0.2.0","4.4.1"
"parallel","4.4.1","4.4.1"
"patchwork","1.3.2","4.4.1"
"pathview","1.44.0","4.4.0"
"pbdZMQ","0.3-14","4.4.1"
"pbkrtest","0.5.5","4.4.1"
"pheatmap","1.0.13","4.4.1"
"pillar","1.11.1","4.4.1"
"pkgconfig","2.0.3","4.4.0"
"plogr","0.2.0","4.4.0"
"plotrix","3.8-14","4.4.3"
"plyr","1.8.9","4.4.0"
"png","0.1-9","4.4.3"
"polyclip","1.10-7","4.4.0"
"polynom","1.4-1","4.4.1"
"prettyunits","1.2.0","4.4.0"
"processx","3.8.6","4.4.1"
"progress","1.2.3","4.4.0"
"proto","1.0.0","4.4.1"
"ps","1.9.1","4.4.1"
"purrr","1.2.1","4.4.3"
"pwalign","1.0.0","4.4.0"
"quantreg","6.1","4.4.1"
"qvalue","2.36.0","4.4.0"
"R.methodsS3","1.8.2","4.4.0"
"R.oo","1.27.1","4.4.1"
"R.utils","2.13.0","4.4.1"
"R6","2.6.1","4.4.1"
"ragg","1.5.1","4.4.3"
"rappdirs","0.3.4","4.4.3"
"rbibutils","2.4.1","4.4.3"
"rbioapi","0.8.3","4.4.1"
"RColorBrewer","1.1-3","4.4.0"
"Rcpp","1.1.1","4.4.3"
"RcppAnnoy","0.0.23","4.4.3"
"RcppArmadillo","15.2.4-1","4.4.3"
"RcppEigen","0.3.4.0.2","4.4.1"
"RcppNumerical","0.7-0","4.4.3"
"RcppProgress","0.4.2","4.4.1"
"RCurl","1.98-1.18","4.4.3"
"RCy3","2.24.0","4.4.0"
"Rdpack","2.6.6","4.4.3"
"reactome.db","1.88.0","4.4.1"
"ReactomePA","1.48.0","4.4.0"
"readr","2.2.0","4.4.3"
"readxl","1.4.5","4.4.1"
"reformulas","0.4.4","4.4.3"
"rematch","2.0.0","4.4.0"
"rematch2","2.1.2","4.4.0"
"repr","1.1.7","4.4.0"
"reprex","2.1.1","4.4.0"
"reshape2","1.4.5","4.4.1"
"Rgraphviz","2.48.0","4.4.0"
"Rhtslib","3.0.0","4.4.0"
"rjson","0.2.23","4.4.1"
"RJSONIO","2.0.0","4.4.1"
"rlang","1.3.0","4.4.1"
"rmarkdown","2.30","4.4.1"
"rpart","4.1.24","4.4.1"
"Rsamtools","2.20.0","4.4.0"
"RSpectra","0.16-2","4.4.0"
"RSQLite","2.4.6","4.4.3"
"rstatix","0.7.3","4.4.1"
"rstudioapi","0.18.0","4.4.3"
"Rtsne","0.17","4.4.1"
"rvest","1.0.5","4.4.1"
"S4Arrays","1.4.1","4.4.0"
"S4Vectors","0.42.1","4.4.1"
"S7","0.2.1","4.4.3"
"sass","0.4.10","4.4.1"
"scales","1.4.0","4.4.1"
"scatterpie","0.2.6","4.4.1"
"selectr","0.5-1","4.4.3"
"shadowtext","0.1.6","4.4.1"
"shape","1.4.6.1","4.4.1"
"ShortRead","1.62.0","4.4.0"
"sitmo","2.0.2","4.4.1"
"sleepr","0.3.1","4.4.1"
"snakecase","0.11.1","4.4.0"
"snow","0.4-4","4.4.0"
"SparseArray","1.4.8","4.4.0"
"SparseM","1.84-2","4.4.1"
"spatial","7.3-18","4.4.1"
"splines","4.4.1","4.4.1"
"sqldf","0.4-12","4.4.3"
"statmod","1.5.1","4.4.1"
"stats","4.4.1","4.4.1"
"stats4","4.4.1","4.4.1"
"STRINGdb","2.16.4","4.4.0"
"stringi","1.8.7","4.4.1"
"stringr","1.6.0","4.4.1"
"SummarizedExperiment","1.34.0","4.4.0"
"survival","3.8-6","4.4.3"
"survminer","0.5.2","4.4.3"
"sys","3.4.3","4.4.1"
"systemfonts","1.3.2","4.4.3"
"tcltk","4.4.1","4.4.1"
"textshaping","1.0.5","4.4.3"
"tibble","3.3.1","4.4.3"
"tidygraph","1.3.1","4.4.1"
"tidyr","1.3.2","4.4.3"
"tidyselect","1.2.1","4.4.0"
"tidytree","0.4.7","4.4.3"
"tidyverse","2.0.0","4.4.0"
"tiff","0.1-12","4.4.1"
"timechange","0.4.0","4.4.3"
"timeDate","4052.112","4.4.3"
"tinytex","0.58","4.4.3"
"tools","4.4.1","4.4.1"
"treeio","1.28.0","4.4.0"
"tweenr","2.0.3","4.4.0"
"tzdb","0.5.0","4.4.1"
"UCSC.utils","1.0.0","4.4.0"
"urca","1.3-4","4.4.0"
"utf8","1.2.6","4.4.1"
"utils","4.4.1","4.4.1"
"uuid","1.2-2","4.4.3"
"uwot","0.2.4","4.4.1"
"vctrs","0.7.2","4.4.3"
"viridis","0.6.5","4.4.0"
"viridisLite","0.4.3","4.4.3"
"vroom","1.7.0","4.4.3"
"withr","3.0.3","4.4.1"
"writexl","1.5.4","4.4.1"
"xfun","0.57","4.4.3"
"XML","3.99-0.23","4.4.3"
"xml2","1.5.2","4.4.3"
"XVector","0.44.0","4.4.0"
"yaml","2.3.12","4.4.3"
"yulab.utils","0.2.4","4.4.3"
"zlibbioc","1.50.0","4.4.0"
"zoo","1.8-15","4.4.3"
