"acquisition","treatment","group","coverglasses","images","cells","mean_ctcf","median_ctcf","sd_ctcf","sem_ctcf","mean_percent_wt","median_percent_wt"
"20X NT","Untreated","WT",1,5,41,8776.75482675833,8691.24106,2509.41237604846,1122.24333128472,100,99.0256789844736
"20X NT","Untreated","CS",1,5,42,4701.95727257143,5935.50464271429,2836.05902308344,1268.32415276324,53.572845150422,67.6275543737223
"63X 20mM","20 mM H2O2","WT",1,7,13,320264.207284333,244529.8292,227381.520963316,85942.1367429361,100,76.3525313282681
"63X 20mM","20 mM H2O2","CS",1,6,15,234429.397600528,223292.345325,74598.4005305811,30454.6694879482,73.1987503656315,69.7212926846861
