"acquisition","treatment","comparison","biological_unit","wt_coverglasses","cs_coverglasses","inferential_test","wt_images","cs_images","wt_cells","cs_cells","wt_mean_ctcf","cs_mean_ctcf","cs_percent_of_wt_mean","direction","interpretation","outlier_removal"
"20X NT","Untreated","dMIC60-CS versus dMIC60-WT","Coverglass",1,1,"Not performed: n = 1 coverglass per group",5,5,41,42,8776.75482675833,4701.95727257143,53.572845150422,"CS lower","Descriptive only; images and cells are technical subsamples from one coverglass per group","None"
"63X 20mM","20 mM H2O2","dMIC60-CS versus dMIC60-WT","Coverglass",1,1,"Not performed: n = 1 coverglass per group",7,6,13,15,320264.207284333,234429.397600528,73.1987503656315,"CS lower","Descriptive only; images and cells are technical subsamples from one coverglass per group","None"
