"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"MF","GO:0008324","monoatomic cation transmembrane transporter activity","3/75","169/5814",0.0177514792899408,1.37609467455621,0.567180438314908,0.372906508717064,0.604365721024207,0.554960684479116,"knon/ATPsynG/ATP8",3,"female","up"
"MF","GO:0016209","antioxidant activity","1/75","37/5814",0.027027027027027,2.09513513513514,0.763888675394174,0.382394142609982,0.611645813020711,0.561645651374001,"GstO1",1,"female","up"
"MF","GO:0004252","serine-type endopeptidase activity","2/75","104/5814",0.0192307692307692,1.49076923076923,0.577282806311185,0.389660117186784,0.611645813020711,0.561645651374001,"CG1304/CG10472",2,"female","up"
"MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","2/75","104/5814",0.0192307692307692,1.49076923076923,0.577282806311185,0.389660117186784,0.611645813020711,0.561645651374001,"Cyp28a5/Cyp6a8",2,"female","up"
"MF","GO:0000287","magnesium ion binding","1/75","38/5814",0.0263157894736842,2.04,0.735231704151076,0.39041222107705,0.611645813020711,0.561645651374001,"CG32026",1,"female","up"
"MF","GO:0001664","G protein-coupled receptor binding","1/75","40/5814",0.025,1.938,0.680467088702508,0.406141502453907,0.631029772407723,0.579445031774169,"CG17349",1,"female","up"
"MF","GO:0005319","lipid transporter activity","1/75","41/5814",0.024390243902439,1.89073170731707,0.654260562284617,0.413855286194114,0.637744211512241,0.585610586159057,"Apoltp",1,"female","up"
"MF","GO:0008135","translation factor activity, RNA binding","1/75","42/5814",0.0238095238095238,1.84571428571429,0.628778714516447,0.421470192401535,0.64419834285763,0.591537112142505,"eIF4E3",1,"female","up"
"MF","GO:0042277","peptide binding","1/75","43/5814",0.0232558139534884,1.80279069767442,0.603981592549958,0.428987471606297,0.64519715729587,0.592454276576275,"ImpL2",1,"female","up"
"MF","GO:0050660","flavin adenine dinucleotide binding","1/75","43/5814",0.0232558139534884,1.80279069767442,0.603981592549958,0.428987471606297,0.64519715729587,0.592454276576275,"CG9521",1,"female","up"
"MF","GO:0016773","phosphotransferase activity, alcohol group as acceptor","3/75","187/5814",0.0160427807486631,1.24363636363636,0.387112446780558,0.435900993735588,0.650391958907068,0.597224419153187,"Adk3/Tie/Galk",3,"female","up"
"MF","GO:0015171","amino acid transmembrane transporter activity","1/75","46/5814",0.0217391304347826,1.68521739130435,0.533343919171594,0.450965819627982,0.662489999592867,0.608333482268926,"Nmdar1",1,"female","up"
"MF","GO:0005509","calcium ion binding","2/75","119/5814",0.0168067226890756,1.30285714285714,0.381572544568705,0.4567953929014,0.662489999592867,0.608333482268926,"unc-13/CG31345",2,"female","up"
"MF","GO:0046914","transition metal ion binding","6/75","419/5814",0.0143198090692124,1.11007159904535,0.267361730437956,0.457718598389548,0.662489999592867,0.608333482268926,"dbf/Cyp28a5/grau/Cyp6a8/Hr3/CG13442",6,"female","up"
"MF","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","1/75","47/5814",0.0212765957446809,1.64936170212766,0.510944002116849,0.458104786952514,0.662489999592867,0.608333482268926,"GstO1",1,"female","up"
"MF","GO:0016746","acyltransferase activity","3/75","198/5814",0.0151515151515152,1.17454545454545,0.285653973736805,0.473312516177979,0.679257656805038,0.623730435140125,"CG5122/CG5265/CG13442",3,"female","up"
"MF","GO:0008238","exopeptidase activity","1/75","52/5814",0.0192307692307692,1.49076923076923,0.406354479916095,0.492448533812288,0.696092664336166,0.639189232649111,"CG17684",1,"female","up"
"MF","GO:0019904","protein domain specific binding","1/75","52/5814",0.0192307692307692,1.49076923076923,0.406354479916095,0.492448533812288,0.696092664336166,0.639189232649111,"rst",1,"female","up"
"MF","GO:0090079","translation regulator activity, nucleic acid binding","1/75","53/5814",0.0188679245283019,1.46264150943396,0.386764205789257,0.499054982955654,0.700166692504948,0.642930221561094,"eIF4E3",1,"female","up"
"MF","GO:0033218","amide binding","1/75","55/5814",0.0181818181818182,1.40945454545455,0.348759609699097,0.512014377359407,0.713027429211619,0.654739632646727,"ImpL2",1,"female","up"
"MF","GO:0042626","ATPase-coupled transmembrane transporter activity","1/75","56/5814",0.0178571428571429,1.38428571428571,0.330312572279709,0.518369460133855,0.716326260645476,0.657768794769642,"Mdr65",1,"female","up"
"MF","GO:0008270","zinc ion binding","4/75","291/5814",0.013745704467354,1.06556701030928,0.131176800842815,0.522003711215054,0.716326260645476,0.657768794769642,"dbf/grau/Hr3/CG13442",4,"female","up"
"MF","GO:0045182","translation regulator activity","1/75","59/5814",0.0169491525423729,1.31389830508475,0.277016088917142,0.536948796936976,0.731495462493851,0.67169796108058,"eIF4E3",1,"female","up"
"MF","GO:0008194","UDP-glycosyltransferase activity","1/75","60/5814",0.0166666666666667,1.292,0.259888001016473,0.542983347802263,0.734394743790111,0.674360235059228,"Ugt303B3",1,"female","up"
"MF","GO:0016853","isomerase activity","1/75","63/5814",0.0158730158730159,1.23047619047619,0.210250645896926,0.56062527880959,0.752839660115735,0.691297336276486,"CG9577",1,"female","up"
"MF","GO:0008061","chitin binding","1/75","65/5814",0.0153846153846154,1.19261538461538,0.178510668771084,0.572011492695239,0.759702692181345,0.697599336605491,"CG43218",1,"female","up"
