"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"CC","GO:0030286","dynein complex","8/327","37/7088",0.216216216216216,4.68666831969584,4.94434989145897,0.000224639948535831,0.0453772696042378,0.0437456741885565,"CG10834/kl-5/CG31275/CG13202/Sdic4/CG10822/robl37BC/CG10859",8,"male","up"
"MF","GO:0005214","structural constituent of chitin-based cuticle","14/329","98/7037",0.142857142857143,3.05557967867998,4.53798699692857,0.00016631435278635,0.0290583497405604,0.0290583497405604,"Cpr47Ec/dyl/Cpr47Eb/Pcp/TwdlD/TwdlM/m/Cpr72Ea/TwdlP/TwdlG/TwdlE/Cpr49Ah/TwdlO/CG13022",14,"male","up"
"MF","GO:0042302","structural constituent of cuticle","14/329","99/7037",0.141414141414141,3.0247152374812,4.49292054315815,0.000185676356169715,0.0290583497405604,0.0290583497405604,"Cpr47Ec/dyl/Cpr47Eb/Pcp/TwdlD/TwdlM/m/Cpr72Ea/TwdlP/TwdlG/TwdlE/Cpr49Ah/TwdlO/CG13022",14,"male","up"
